Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2015-2016,Aaron Ekblad,FLA,D,65.0,106.0,76.0,,192.0,29.0,33.0,13.0,45.0,104.0,141.0,151.0,,57.0,Second Pair,78,1690.8166666667,15,8,29,1996-02-07,CAN,CAN,76,215,2014,1,1,1,,
2015-2016,Adam Clendening,"EDM, PIT",D,136.0,214.0,,,117.0,212.0,75.0,135.0,53.0,190.0,221.0,174.0,,153.0,Third Pair,29,429.08333333333,1,1,32,1992-10-26,USA,USA,72,194,2011,2,6,36,,
2015-2016,Adam Larsson,NJD,D,198.0,6.0,,120.0,225.0,9.0,188.0,155.0,228.0,112.0,169.0,74.0,,103.0,First Pair,82,1846.1,3,6,32,1992-11-12,SWE,SWE,75,209,2011,1,4,4,,
2015-2016,Adam McQuaid,BOS,D,182.0,31.0,,106.0,125.0,52.0,200.0,201.0,92.0,196.0,208.0,24.0,,165.0,Second Pair,64,1154.5666666667,1,3,38,1986-10-12,CAN,CAN,76,210,2005,2,25,55,,
2015-2016,Adam Pardy,"EDM, WPG",D,116.0,155.0,,163.0,89.0,130.0,178.0,226.0,34.0,68.0,103.0,64.0,,193.0,Third Pair,23,365.33333333333,0,3,41,1984-03-29,CAN,CAN,76,227,2004,6,10,173,,
2015-2016,Alec Martinez,LAK,D,28.0,16.0,10.0,104.0,30.0,61.0,44.0,19.0,93.0,44.0,51.0,63.0,,37.0,Second Pair,78,1649.75,10,13,37,1987-07-26,USA,USA,73,210,2007,4,4,95,,
2015-2016,Alex Biega,VAN,D,207.0,229.0,,,213.0,230.0,147.0,229.0,185.0,186.0,162.0,33.0,,220.0,Third Pair,51,854.93333333333,0,3,37,1988-04-04,CAN,CAN,70,195,2006,5,24,147,,
2015-2016,Alex Goligoski,DAL,D,13.0,189.0,63.0,36.0,1.0,176.0,112.0,126.0,138.0,29.0,33.0,152.0,,41.0,First Pair,82,1954.1333333333,5,14,39,1985-07-30,USA,USA,71,173,2004,2,31,61,,
2015-2016,Alex Petrovic,FLA,D,176.0,126.0,,143.0,181.0,113.0,197.0,202.0,135.0,114.0,191.0,21.0,,195.0,Third Pair,66,1119.0666666667,2,9,33,1992-03-03,CAN,CAN,76,220,2010,2,6,36,,
2015-2016,Alex Pietrangelo,STL,D,18.0,85.0,64.0,49.0,46.0,119.0,40.0,83.0,100.0,17.0,6.0,213.0,,14.0,First Pair,73,1920.25,7,19,35,1990-01-18,CAN,CAN,75,215,2008,1,4,4,,
2015-2016,Alexander Edler,VAN,D,96.0,73.0,41.0,45.0,162.0,110.0,23.0,52.0,204.0,150.0,195.0,107.0,,24.0,First Pair,52,1271.5333333333,6,3,39,1986-04-21,SWE,SWE,76,210,2004,3,26,91,,
2015-2016,Alexei Emelin,MTL,D,184.0,141.0,,93.0,102.0,138.0,196.0,195.0,203.0,191.0,177.0,8.0,,139.0,Second Pair,72,1475.85,0,3,39,1986-04-25,RUS,RUS,74,218,2004,3,19,84,,
