Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2021-2022,Adin Hill,SJS,G,29.0,21.0,25.0,27.0,20.0,29.0,Backup,25,0.906,2.66,52.15,61,29,1996-05-11,CAN,CAN,76,215,2015,3,15,76,,
2021-2022,Alex Nedeljkovic,DET,G,32.0,22.0,29.0,26.0,45.0,26.0,Starter,59,0.901,3.31,160.14,178,29,1996-01-07,USA,USA,72,208,2014,2,7,37,,
2021-2022,Alexandar Georgiev,NYR,G,44.0,38.0,55.0,41.0,40.0,48.0,1B,33,0.898,2.92,78.05,85,29,1996-02-10,RUS,RUS,73,178,-,-,-,-,,
2021-2022,Andrei Vasilevskiy,TBL,G,3.0,4.0,31.0,14.0,3.0,5.0,Starter,63,0.917,2.48,164.92,155,30,1994-07-25,RUS,RUS,76,220,2012,1,19,19,,
2021-2022,Anthony Stolarz,ANA,G,28.0,47.0,5.0,69.0,1.0,42.0,Backup,28,0.917,2.67,70.32,67,31,1994-01-20,USA,USA,78,243,2012,2,15,45,,
2021-2022,Anton Forsberg,OTT,G,27.0,44.0,9.0,47.0,56.0,19.0,1A,46,0.917,2.82,127.78,121,32,1992-11-27,SWE,SWE,75,193,2011,7,7,188,,
2021-2022,Antti Raanta,CAR,G,12.0,7.0,4.0,11.0,18.0,24.0,Backup,28,0.912,2.45,67.46,62,36,1989-05-12,FIN,FIN,72,195,-,-,-,-,,
2021-2022,Braden Holtby,DAL,G,51.0,50.0,50.0,10.0,41.0,57.0,Backup,24,0.913,2.78,58.52,61,35,1989-09-16,CAN,CAN,73,215,2008,4,2,93,,
2021-2022,Brian Elliott,TBL,G,52.0,54.0,36.0,49.0,49.0,37.0,Backup,19,0.912,2.43,42.65,43,40,1985-04-09,CAN,CAN,74,221,2003,9,30,291,,
2021-2022,Cal Petersen,LAK,G,46.0,45.0,54.0,50.0,58.0,23.0,1B,37,0.895,2.89,95.38,105,30,1994-10-19,USA,USA,74,185,2013,5,8,129,,
2021-2022,Cam Talbot,MIN,G,38.0,35.0,40.0,25.0,22.0,44.0,1A,49,0.911,2.76,114.34,132,38,1987-07-05,CAN,CAN,76,201,-,-,-,-,,
2021-2022,Carter Hart,PHI,G,60.0,57.0,62.0,56.0,50.0,53.0,1A,45,0.905,3.16,125.81,137,26,1998-08-13,CAN,CAN,74,181,2016,2,18,48,,
2021-2022,Casey DeSmith,PIT,G,34.0,34.0,56.0,22.0,46.0,36.0,Backup,26,0.914,2.79,63.57,66,33,1991-08-13,USA,USA,72,181,-,-,-,-,,
2021-2022,Chris Driedger,SEA,G,15.0,3.0,59.0,20.0,17.0,21.0,Backup,27,0.899,2.96,66.17,73,31,1994-05-18,CAN,CAN,76,208,2012,3,15,76,,
2021-2022,Connor Hellebuyck,WPG,G,5.0,8.0,19.0,4.0,11.0,22.0,Starter,66,0.91,2.97,198.98,193,32,1993-05-19,USA,USA,76,216,2012,5,9,130,,
2021-2022,Craig Anderson,BUF,G,58.0,63.0,30.0,28.0,67.0,49.0,Backup,31,0.897,3.12,85.45,97,44,1981-05-21,USA,USA,74,187,2001,3,10,73,,
2021-2022,Dan Vladar,CGY,G,57.0,56.0,60.0,31.0,63.0,61.0,Backup,23,0.906,2.75,52.38,57,27,1997-08-20,CZE,CZE,77,209,2015,3,14,75,,
2021-2022,Darcy Kuemper,COL,G,7.0,16.0,10.0,8.0,27.0,6.0,Starter,57,0.921,2.54,154.08,138,35,1990-05-05,CAN,CAN,77,215,2009,6,10,161,,
2021-2022,David Rittich,NSH,G,61.0,53.0,63.0,18.0,55.0,62.0,Backup,17,0.887,3.57,38.96,49,32,1992-08-19,CZE,CZE,76,205,-,-,-,-,,
2021-2022,Dustin Tokarski,BUF,G,62.0,62.0,49.0,66.0,57.0,51.0,Backup,29,0.899,3.27,77.17,91,35,1989-09-16,CAN,CAN,72,198,2008,5,1,122,,
2021-2022,Elvis Merzlikins,CBJ,G,31.0,37.0,14.0,43.0,31.0,14.0,Starter,59,0.907,3.22,164.75,178,31,1994-04-13,LVA,LVA,75,183,2014,3,16,76,,
2021-2022,Eric Comrie,WPG,G,10.0,5.0,67.0,65.0,5.0,30.0,Backup,19,0.92,2.58,51.64,44,30,1995-07-06,CAN,CAN,73,183,2013,2,29,59,,
2021-2022,Erik Kallgren,TOR,G,68.0,68.0,69.0,59.0,68.0,67.0,Backup,14,0.888,3.31,33.38,43,28,1996-10-14,SWE,SWE,75,200,2015,7,2,183,,
2021-2022,Filip Gustavsson,OTT,G,54.0,42.0,58.0,3.0,59.0,64.0,Backup,18,0.892,3.55,52.75,62,27,1998-06-07,SWE,SWE,74,184,2016,2,25,55,,
2021-2022,Frederik Andersen,CAR,G,18.0,10.0,27.0,23.0,21.0,32.0,Starter,52,0.922,2.17,136.57,111,35,1989-10-02,DNK,DNK,76,238,2012,3,26,87,,
2021-2022,Igor Shesterkin,NYR,G,1.0,1.0,2.0,1.0,15.0,1.0,Starter,53,0.935,2.07,145.49,106,29,1995-12-30,RUS,RUS,73,189,2014,4,28,118,,
2021-2022,Ilya Samsonov,WSH,G,53.0,48.0,17.0,39.0,29.0,59.0,1A,44,0.896,3.02,105.58,119,28,1997-02-22,RUS,RUS,75,214,2015,1,22,22,,
2021-2022,Ilya Sorokin,NYI,G,6.0,9.0,18.0,29.0,12.0,7.0,Starter,52,0.925,2.4,139.74,123,29,1995-08-04,RUS,RUS,75,195,2014,3,18,78,,
2021-2022,Jack Campbell,TOR,G,19.0,24.0,7.0,7.0,6.0,50.0,1A,49,0.914,2.64,116.42,123,33,1992-01-09,USA,USA,75,207,2010,1,11,11,,
2021-2022,Jacob Markstrom,CGY,G,14.0,12.0,15.0,12.0,39.0,4.0,Starter,63,0.922,2.22,151.79,137,35,1990-01-31,SWE,SWE,78,207,2008,2,1,31,,
2021-2022,Jake Allen,MTL,G,26.0,13.0,28.0,38.0,14.0,28.0,1B,35,0.905,3.3,102.24,107,34,1990-08-07,CAN,CAN,74,195,2008,2,4,34,,
2021-2022,Jake Oettinger,DAL,G,35.0,41.0,47.0,60.0,42.0,13.0,1A,48,0.914,2.53,112.1,114,26,1998-12-18,USA,USA,77,220,2017,1,26,26,,
2021-2022,James Reimer,SJS,G,21.0,30.0,1.0,2.0,30.0,38.0,1A,48,0.911,2.9,131.01,129,37,1988-03-15,CAN,CAN,75,205,2006,4,6,99,,
2021-2022,Jaroslav Halak,VAN,G,37.0,32.0,43.0,5.0,54.0,31.0,Backup,17,0.903,2.93,37.46,39,40,1985-05-13,SVK,SVK,71,189,2003,9,10,271,,
2021-2022,Jeremy Swayman,BOS,G,17.0,20.0,32.0,37.0,25.0,17.0,1B,41,0.914,2.41,92.34,96,26,1998-11-24,USA,USA,74,194,2017,4,18,111,,
2021-2022,John Gibson,ANA,G,36.0,33.0,13.0,30.0,33.0,41.0,Starter,56,0.904,3.19,163.21,172,31,1993-07-14,USA,USA,74,210,2011,2,9,39,,
2021-2022,Jon Gillies,"NJD, STL",G,69.0,69.0,35.0,68.0,62.0,68.0,Backup,20,0.887,3.7,46.63,62,31,1994-01-22,USA,USA,78,223,2012,3,14,75,,
2021-2022,Jonathan Quick,LAK,G,24.0,28.0,38.0,35.0,34.0,25.0,1A,46,0.91,2.59,127.5,116,39,1986-01-21,USA,USA,73,220,2005,3,11,72,,
2021-2022,Joonas Korpisalo,CBJ,G,66.0,67.0,46.0,44.0,61.0,65.0,Backup,22,0.877,4.15,60.64,78,31,1994-04-28,FIN,FIN,75,193,2012,3,1,62,,
2021-2022,Jordan Binnington,STL,G,30.0,26.0,26.0,54.0,37.0,10.0,1B,37,0.901,3.16,102.37,112,31,1993-07-11,CAN,CAN,74,172,2011,3,27,88,,
2021-2022,Juuse Saros,NSH,G,2.0,2.0,41.0,15.0,8.0,2.0,Starter,67,0.918,2.64,180.35,173,30,1995-04-19,FIN,FIN,71,180,2013,4,8,99,,
2021-2022,Kaapo Kahkonen,"MIN, SJS",G,48.0,52.0,51.0,40.0,43.0,54.0,1B,36,0.912,2.87,92.45,93,28,1996-08-16,FIN,FIN,74,217,2014,4,19,109,,
2021-2022,Karel Vejmelka,ARI,G,63.0,66.0,61.0,58.0,69.0,52.0,Starter,52,0.898,3.66,147.63,169,29,1996-05-25,CZE,CZE,76,224,2015,5,24,145,,
2021-2022,Kevin Lankinen,CHI,G,64.0,61.0,57.0,19.0,65.0,63.0,Backup,32,0.891,3.5,80.87,106,30,1995-04-28,FIN,FIN,74,190,-,-,-,-,,
2021-2022,Laurent Brossoit,VGK,G,33.0,19.0,42.0,64.0,35.0,8.0,Backup,24,0.895,2.9,57.92,62,32,1993-03-23,CAN,CAN,75,215,2011,6,13,164,,
2021-2022,Linus Ullmark,BOS,G,22.0,17.0,45.0,21.0,19.0,20.0,1B,41,0.917,2.45,94.08,95,31,1993-07-31,SWE,SWE,77,212,2012,6,12,163,,
2021-2022,Logan Thompson,VGK,G,39.0,43.0,53.0,62.0,38.0,40.0,Backup,19,0.914,2.68,49.02,49,28,1997-02-25,CAN,CAN,76,205,-,-,-,-,,
2021-2022,Mackenzie Blackwood,NJD,G,59.0,60.0,37.0,48.0,24.0,66.0,Backup,25,0.892,3.39,61.57,79,28,1996-12-09,CAN,CAN,76,225,2015,2,12,42,,
2021-2022,Marc-Andre Fleury,"CHI, MIN",G,13.0,14.0,34.0,42.0,13.0,15.0,Starter,56,0.908,2.9,147.56,159,40,1984-11-28,CAN,CAN,74,185,2003,1,1,1,,
2021-2022,Martin Jones,PHI,G,56.0,59.0,44.0,52.0,44.0,55.0,1B,35,0.9,3.42,99.87,114,35,1990-01-10,CAN,CAN,76,203,-,-,-,-,,
2021-2022,Matt Murray,OTT,G,49.0,49.0,22.0,6.0,60.0,46.0,Backup,20,0.906,3.04,61.28,60,31,1994-05-25,CAN,CAN,77,203,2012,3,22,83,,
2021-2022,Mike Smith,EDM,G,9.0,18.0,6.0,13.0,36.0,3.0,Backup,28,0.915,2.81,77.39,74,43,1982-03-22,CAN,CAN,77,220,2001,5,30,161,,
