Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
Aaron Dell,BUF,G,35,1989-05-04,Airdrie,AB,CAN,CAN,72,213,-,-,-,-,-
Adam Huska,NYR,G,27,1997-05-12,Slovakia,,SVK,SVK,76,214,2015,NYR,7,3,184
Adin Hill,SJS,G,28,1996-05-11,Comox,BC,CAN,CAN,76,215,2015,ARI,3,15,76
Akira Schmid,NJD,G,24,2000-05-12,Bern,,CHE,CHE,77,205,2018,N.J,5,12,136
Alex Lyon,CAR,G,32,1992-12-09,Baudette,MN,USA,USA,73,201,-,-,-,-,-
Alex Nedeljkovic,DET,G,29,1996-01-07,Parma,OH,USA,USA,72,208,2014,CAR,2,7,37
Alex Stalock,SJS,G,37,1987-07-28,St. Paul,MN,USA,USA,71,170,2005,S.J,4,21,112
Alexandar Georgiev,NYR,G,29,1996-02-10,Moscow,,RUS,RUS,73,178,-,-,-,-,-
Andrei Vasilevskiy,TBL,G,30,1994-07-25,Tyumen,,RUS,RUS,76,220,2012,T.B,1,19,19
Andrew Hammond,"MTL, NJD",G,37,1988-02-11,Surrey,BC,CAN,CAN,74,215,-,-,-,-,-
Anthony Stolarz,ANA,G,31,1994-01-20,Edison,NJ,USA,USA,78,243,2012,PHI,2,15,45
Anton Forsberg,OTT,G,32,1992-11-27,Harnosand,,SWE,SWE,75,193,2011,CBJ,7,7,188
Anton Khudobin,DAL,G,38,1986-05-07,Ust-Kamenogorsk,,KAZ,RUS,71,210,2004,MIN,7,13,206
Antti Raanta,CAR,G,35,1989-05-12,Rauma,,FIN,FIN,72,195,-,-,-,-,-
Arvid Soderblom,CHI,G,25,1999-08-19,Goteborg,,SWE,SWE,75,180,-,-,-,-,-
Braden Holtby,DAL,G,35,1989-09-16,Lloydminster,SK,CAN,CAN,73,215,2008,WSH,4,2,93
Brian Elliott,TBL,G,39,1985-04-09,Newmarket,ON,CAN,CAN,74,221,2003,OTT,9,30,291
Cal Petersen,LAK,G,30,1994-10-19,Waterloo,IA,USA,USA,74,185,2013,BUF,5,8,129
Calvin Pickard,DET,G,32,1992-04-15,Moncton,NB,CAN,CAN,73,210,2010,COL,2,19,49
Cam Talbot,MIN,G,37,1987-07-05,Caledonia,ON,CAN,CAN,76,201,-,-,-,-,-
Carey Price,MTL,G,37,1987-08-16,Anahim Lake,BC,CAN,CAN,75,217,2005,MTL,1,5,5
Carter Hart,PHI,G,26,1998-08-13,Sherwood Park,AB,CAN,CAN,74,181,2016,PHI,2,18,48
Carter Hutton,ARI,G,39,1985-12-19,Thunder Bay,ON,CAN,CAN,72,211,-,-,-,-,-
Casey DeSmith,PIT,G,33,1991-08-13,Rochester,NH,USA,USA,72,181,-,-,-,-,-
Cayden Primeau,MTL,G,25,1999-08-11,Farmington Hills,MI,USA,USA,74,199,2017,MTL,7,13,199
Charlie Lindgren,STL,G,31,1993-12-18,Lakeville,MN,USA,USA,74,179,-,-,-,-,-
Chris Driedger,SEA,G,30,1994-05-18,Winnipeg,MB,CAN,CAN,76,208,2012,OTT,3,15,76
Collin Delia,CHI,G,30,1994-06-20,Rancho Cucamonga,CA,USA,USA,74,208,-,-,-,-,-
Connor Hellebuyck,WPG,G,31,1993-05-19,Commerce,MI,USA,USA,76,216,2012,WPG,5,9,130
Connor Ingram,NSH,G,28,1997-03-31,Saskatoon,SK,CAN,CAN,74,196,2016,T.B,3,27,88
Cory Schneider,NYI,G,39,1986-03-18,Marblehead,MA,USA,USA,75,214,2004,VAN,1,26,26
Craig Anderson,BUF,G,43,1981-05-21,Park Ridge,IL,USA,USA,74,187,2001,CHI,3,10,73
Dan Vladar,CGY,G,27,1997-08-20,Prague,,CZE,CZE,77,209,2015,BOS,3,14,75
Daniil Tarasov,CBJ,G,26,1999-03-27,Novokuznetsk,,RUS,RUS,77,196,2017,CBJ,3,24,86
Darcy Kuemper,COL,G,34,1990-05-05,Saskatoon,SK,CAN,CAN,77,215,2009,MIN,6,10,161
David Rittich,NSH,G,32,1992-08-19,Jihlava,,CZE,CZE,76,205,-,-,-,-,-
Dustin Tokarski,BUF,G,35,1989-09-16,Watson,SK,CAN,CAN,72,198,2008,T.B,5,1,122
Elvis Merzlikins,CBJ,G,30,1994-04-13,Riga,,LVA,LVA,75,183,2014,CBJ,3,16,76
Eric Comrie,WPG,G,29,1995-07-06,Edmonton,AB,CAN,CAN,73,183,2013,WPG,2,29,59
Erik Kallgren,TOR,G,28,1996-10-14,Stockholm,,SWE,SWE,75,200,2015,ARI,7,2,183
Felix Sandstrom,PHI,G,28,1997-01-12,Gavle,,SWE,SWE,74,191,2015,PHI,3,9,70
Filip Gustavsson,OTT,G,26,1998-06-07,Skellefteå,,SWE,SWE,74,184,2016,PIT,2,25,55
Frederik Andersen,CAR,G,35,1989-10-02,Herning,,DNK,DNK,76,238,2012,ANA,3,26,87
Garret Sparks,LAK,G,31,1993-06-28,Elmhurst,IL,USA,USA,75,220,2011,TOR,7,9,190
Harri Sateri,ARI,G,35,1989-12-29,Toijala,,FIN,FIN,73,205,2008,S.J,4,15,106
Hugo Alnefelt,TBL,G,23,2001-06-04,Danderyd,,SWE,SWE,74,177,2019,T.B,3,9,71
Igor Shesterkin,NYR,G,29,1995-12-30,Moscow,,RUS,RUS,73,189,2014,NYR,4,28,118
Ilya Samsonov,WSH,G,28,1997-02-22,Magnitogorsk,,RUS,RUS,75,214,2015,WSH,1,22,22
Ilya Sorokin,NYI,G,29,1995-08-04,Mezhdurechensk,,RUS,RUS,75,195,2014,NYI,3,18,78
Ivan Prosvetov,ARI,G,26,1999-03-05,Moscow,,RUS,RUS,77,195,2018,ARI,4,21,114
J-F Berube,CBJ,G,33,1991-07-13,Repentigny,QC,CAN,CAN,73,177,2009,L.A,4,4,95
Jack Campbell,TOR,G,33,1992-01-09,Port Huron,MI,USA,USA,75,207,2010,DAL,1,11,11
Jack LaFontaine,CAR,G,27,1998-01-06,Mississauga,ON,CAN,CAN,74,204,2016,CAR,3,14,75
Jacob Markstrom,CGY,G,35,1990-01-31,Gavle,,SWE,SWE,78,207,2008,FLA,2,1,31
Jake Allen,MTL,G,34,1990-08-07,Fredericton,NB,CAN,CAN,74,195,2008,STL,2,4,34
Jake Oettinger,DAL,G,26,1998-12-18,Lakeville,MN,USA,USA,77,220,2017,DAL,1,26,26
James Reimer,SJS,G,37,1988-03-15,Morweena,MB,CAN,CAN,75,205,2006,TOR,4,6,99
Jaroslav Halak,VAN,G,39,1985-05-13,Bratislava,,SVK,SVK,71,189,2003,MTL,9,10,271
Jeremy Swayman,BOS,G,26,1998-11-24,Anchorage,AK,USA,USA,74,194,2017,BOS,4,18,111
Joel Hofer,STL,G,24,2000-07-30,Winnipeg,MB,CAN,CAN,77,179,2018,STL,4,14,107
Joey Daccord,SEA,G,28,1996-08-19,Boston,MA,USA,USA,74,201,2015,OTT,7,18,199
John Gibson,ANA,G,31,1993-07-14,Pittsburgh,PA,USA,USA,74,210,2011,ANA,2,9,39
Jon Gillies,"NJD, STL",G,31,1994-01-22,Concord,NH,USA,USA,78,223,2012,CGY,3,14,75
Jonas Johansson,"COL, FLA",G,29,1995-09-19,Gavle,,SWE,SWE,77,220,2014,BUF,3,1,61
Jonathan Bernier,NJD,G,36,1988-08-07,Laval,QC,CAN,CAN,72,185,2006,L.A,1,11,11
Jonathan Quick,LAK,G,39,1986-01-21,Milford,CT,USA,USA,73,220,2005,L.A,3,11,72
Joonas Korpisalo,CBJ,G,30,1994-04-28,Pori,,FIN,FIN,75,193,2012,CBJ,3,1,62
Jordan Binnington,STL,G,31,1993-07-11,Richmond Hill,ON,CAN,CAN,74,172,2011,STL,3,27,88
Josef Korenar,ARI,G,27,1998-01-31,Pelhrimov,,CZE,,73,185,-,-,-,-,-
Joseph Woll,TOR,G,26,1998-07-12,Dardenne Prairie,MO,USA,USA,75,203,2016,TOR,3,1,62
Justus Annunen,COL,G,25,2000-03-11,Kempele,,FIN,FIN,76,210,-,-,-,-,-
Juuse Saros,NSH,G,29,1995-04-19,Forssa,,FIN,FIN,71,180,2013,NSH,4,8,99
Kaapo Kahkonen,"MIN, SJS",G,28,1996-08-16,Helsinki,,FIN,FIN,74,217,2014,MIN,4,19,109
Karel Vejmelka,ARI,G,28,1996-05-25,Trebic,,CZE,CZE,76,224,2015,NSH,5,24,145
Keith Kinkaid,NYR,G,35,1989-07-04,Farmingville,NY,USA,USA,74,195,-,-,-,-,-
Kevin Lankinen,CHI,G,29,1995-04-28,Helsinki,,FIN,FIN,74,190,-,-,-,-,-
Laurent Brossoit,VGK,G,32,1993-03-23,Port Alberni,BC,CAN,CAN,75,215,2011,CGY,6,13,164
Linus Ullmark,BOS,G,31,1993-07-31,Lugnvik,,SWE,SWE,77,212,2012,BUF,6,12,163
Logan Thompson,VGK,G,28,1997-02-25,Calgary,AB,CAN,CAN,76,205,-,-,-,-,-
Louis Domingue,PIT,G,33,1992-03-06,St-Hyacinthe,QC,CAN,CAN,75,208,2010,PHX,5,18,138
Lukas Dostal,ANA,G,24,2000-06-22,Brno,,CZE,CZE,74,174,2018,ANA,3,23,85
Mackenzie Blackwood,NJD,G,28,1996-12-09,Thunder Bay,ON,CAN,CAN,76,225,2015,N.J,2,12,42
Mads Sogaard,OTT,G,24,2000-12-13,Aalborg,,DNK,DNK,79,196,-,-,-,-,-
Magnus Hellberg,DET,G,34,1991-04-04,Uppsala,,SWE,SWE,78,220,2011,NSH,2,8,38
Malcolm Subban,BUF,G,31,1993-12-21,Toronto,ON,CAN,CAN,74,215,2012,BOS,1,24,24
Marc-Andre Fleury,"CHI, MIN",G,40,1984-11-28,Sorel,QC,CAN,CAN,74,185,2003,PIT,1,1,1
Martin Jones,PHI,G,35,1990-01-10,North Vancouver,BC,CAN,CAN,76,203,-,-,-,-,-
Matt Murray,OTT,G,30,1994-05-25,Thunder Bay,ON,CAN,CAN,77,203,2012,PIT,3,22,83
Maxime Lagace,TBL,G,32,1993-01-12,Saint-Augustin,QC,CAN,CAN,74,190,-,-,-,-,-
Michael Dipietro,VAN,G,25,1999-06-09,Windsor,ON,CAN,CAN,72,200,2017,VAN,3,2,64
Michael Houser,BUF,G,32,1992-09-13,Youngstown,OH,USA,USA,73,185,-,-,-,-,-
Michael Hutchinson,TOR,G,35,1990-03-02,Barrie,ON,CAN,CAN,75,201,2008,BOS,3,16,77
Michael McNiven,MTL,G,27,1997-07-09,Winnipeg,MB,CAN,CAN,73,199,-,-,-,-,-
Mike Smith,EDM,G,43,1982-03-22,Kingston,ON,CAN,CAN,77,220,2001,DAL,5,30,161
Mikko Koskinen,EDM,G,36,1988-07-18,Vantaa,,FIN,FIN,79,202,2009,NYI,2,1,31
Nico Daws,NJD,G,24,2000-12-22,Munich,,DEU,DEU,76,205,2020,N.J,3,22,84
Pavel Francouz,COL,G,34,1990-06-03,Plzen,,CZE,CSK,72,179,-,-,-,-,-
Petr Mrazek,TOR,G,33,1992-02-14,Ostrava,,CZE,CZE,74,188,2010,DET,5,21,141
Pheonix Copley,WSH,G,33,1992-01-18,North Pole,AK,USA,USA,76,200,-,-,-,-,-
Philipp Grubauer,SEA,G,33,1991-11-25,Rosenheim,,DEU,DEU,73,188,2010,WSH,4,22,112
Pyotr Kochetkov,CAR,G,25,1999-06-25,Penza,,RUS,RUS,75,205,2019,CAR,2,5,36
Robin Lehner,VGK,G,33,1991-07-24,Gothenburg,,SWE,SWE,76,250,2009,OTT,2,16,46
Sam Montembeault,MTL,G,28,1996-10-30,Becancour,QC,CAN,CAN,75,214,2015,FLA,3,16,77
Scott Wedgewood,"ARI, DAL, NJD",G,32,1992-08-14,Brampton,ON,CAN,CAN,74,205,2010,N.J,3,24,84
Semyon Varlamov,NYI,G,36,1988-04-27,Samara,,RUS,RUS,74,206,2006,WSH,1,23,23
Sergei Bobrovsky,FLA,G,36,1988-09-20,Novokuznetsk,,RUS,RUS,74,182,-,-,-,-,-
Spencer Knight,FLA,G,23,2001-04-19,Stamford,CT,USA,USA,75,192,2019,FLA,1,13,13
Spencer Martin,VAN,G,29,1995-06-08,Oakville,ON,CAN,CAN,75,191,2013,COL,3,2,63
Stuart Skinner,EDM,G,26,1998-11-01,Edmonton,AB,CAN,CAN,76,206,2017,EDM,3,16,78
Thatcher Demko,VAN,G,29,1995-12-08,San Diego,CA,USA,USA,76,192,2014,VAN,2,6,36
Thomas Greiss,DET,G,39,1986-01-29,Fussen,,DEU,DEU,74,219,2004,S.J,3,29,94
Thomas Hodges,ANA,G,31,1993-06-25,"Slough, GBR",,USA,,70,170,-,-,-,-,-
Tristan Jarry,PIT,G,29,1995-04-29,Surrey,BC,CAN,CAN,74,194,2013,PIT,2,14,44
Tuukka Rask,BOS,G,38,1987-03-10,Savonlinna,,FIN,FIN,75,176,2005,TOR,1,21,21
Ukko-Pekka Luukkonen,BUF,G,26,1999-03-09,Espoo,,FIN,FIN,77,217,2017,BUF,2,23,54
Ville Husso,STL,G,30,1995-02-06,Helsinki,,FIN,FIN,75,200,2014,STL,4,4,94
Vitek Vanecek,WSH,G,29,1996-01-09,Havlickuv Brod,,CZE,CZE,74,184,2014,WSH,2,9,39
Zach Fucale,WSH,G,29,1995-05-28,Laval,QC,CAN,CAN,74,189,2013,MTL,2,6,36
Zach Sawchenko,SJS,G,27,1997-12-30,Calgary,AB,CAN,CAN,73,185,-,-,-,-,-
