Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
Aaron Dell,SJS,33,127.33333333333,26,24,2,0.923,0.94,0.13,2.18,6,4,2,0.667,0.94,-0.68,5,5,0,1.000,0.00,0.41,6,6,0,1.000,0.00,0.20,4,0,70.27,8.50
Adam Werner,COL,2,8.55,4,4,0,1.000,0.00,0.33,0.08,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.08,0,0,0,-,0.00,0.00,2,0,129.50,-
Adin Hill,ARI,13,55.383333333333,14,14,0,1.000,0.00,1.15,0.86,3,3,0,1.000,0.00,0.66,3,3,0,1.000,0.00,0.25,2,2,0,1.000,0.00,0.07,3,2,87.57,-
Alex Lyon,PHI,3,19.183333333333,1,1,0,1.000,0.00,0.08,0.02,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.03,0,0,63.00,-
Alex Nedeljkovic,CAR,4,15.716666666667,1,1,0,1.000,0.00,0.08,0.24,1,1,0,1.000,0.00,0.22,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,1,0,38.00,-
Alex Stalock,MIN,38,210.86666666667,34,31,3,0.912,0.85,-0.21,1.95,9,7,2,0.778,0.57,-0.02,9,8,1,0.889,0.28,-0.26,2,2,0,1.000,0.00,0.07,4,0,74.71,21.00
Alexandar Georgiev,NYR,34,162.85,30,28,2,0.933,0.74,0.46,2.3,9,8,1,0.889,0.37,0.98,4,3,1,0.750,0.37,-0.67,8,8,0,1.000,0.00,0.27,6,1,66.77,18.50
Anders Nilsson,OTT,20,88.866666666667,29,27,2,0.931,1.35,0.38,2.18,6,4,2,0.667,1.35,-0.68,11,11,0,1.000,0.00,0.90,4,4,0,1.000,0.00,0.14,3,2,64.86,14.50
Andrei Vasilevskiy,TBL,52,242.51666666667,69,65,4,0.942,0.99,1.66,4.68,14,12,2,0.857,0.49,1.08,16,14,2,0.875,0.49,-0.69,14,14,0,1.000,0.00,0.47,7,2,68.17,19.25
Anthony Stolarz,ANA,1,2,0,0,0,-,0.00,0.00,0,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,-,-
Antoine Bibeau,COL,2,11.9,2,2,0,1.000,0.00,0.16,0,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,148.00,-
Anton Forsberg,CAR,3,13.783333333333,0,0,0,-,0.00,0.00,0,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,-,-
Anton Khudobin,DAL,30,133.13333333333,21,21,0,1.000,0.00,1.72,0.85,1,1,0,1.000,0.00,0.22,7,7,0,1.000,0.00,0.58,4,4,0,1.000,0.00,0.14,3,0,82.86,-
Antti Raanta,ARI,33,172.63333333333,42,39,3,0.929,1.04,0.44,3.27,11,8,3,0.727,1.04,-0.58,10,10,0,1.000,0.00,0.82,8,8,0,1.000,0.00,0.27,7,1,65.17,12.67
Ben Bishop,DAL,44,193.01666666667,38,37,1,0.974,0.31,2.11,2.23,7,7,0,1.000,0.00,1.54,5,4,1,0.800,0.31,-0.59,7,7,0,1.000,0.00,0.24,9,1,84.87,44.00
Braden Holtby,WSH,48,240.15,41,37,4,0.902,1.00,-0.64,3.69,10,7,3,0.700,0.75,-0.80,11,10,1,0.909,0.25,-0.10,5,5,0,1.000,0.00,0.17,9,3,62.78,13.00
Brian Elliott,PHI,31,143.83333333333,30,28,2,0.933,0.83,0.46,2.78,10,10,0,1.000,0.00,2.20,9,7,2,0.778,0.83,-1.26,5,5,0,1.000,0.00,0.17,3,4,47.60,28.50
Cal Petersen,LAK,8,34.05,8,8,0,1.000,0.00,0.66,0.55,3,3,0,1.000,0.00,0.66,2,2,0,1.000,0.00,0.16,0,0,0,-,0.00,0.00,2,0,65.25,-
Calvin Pickard,DET,3,12.183333333333,0,0,0,-,0.00,0.00,0,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,-,-
Cam Talbot,CGY,26,109.43333333333,6,5,1,0.833,0.55,-0.51,0.35,1,0,1,0.000,0.55,-0.78,2,2,0,1.000,0.00,0.16,0,0,0,-,0.00,0.00,3,0,80.67,32.00
Carey Price,MTL,58,246.41666666667,45,43,2,0.956,0.49,1.69,3.36,13,11,2,0.846,0.49,0.86,8,8,0,1.000,0.00,0.66,9,9,0,1.000,0.00,0.31,6,1,65.60,15.50
Carter Hart,PHI,43,200.5,46,44,2,0.957,0.60,1.77,3.9,14,13,1,0.929,0.30,2.08,10,10,0,1.000,0.00,0.82,11,10,1,0.909,0.30,-0.63,4,3,55.76,13.50
Carter Hutton,BUF,31,134.06666666667,24,18,6,0.750,2.69,-4.03,2.06,8,2,6,0.250,2.69,-4.24,4,4,0,1.000,0.00,0.33,4,4,0,1.000,0.00,0.14,6,1,67.04,12.50
Cayden Primeau,MTL,2,9.8833333333333,3,2,1,0.667,6.07,-0.75,0.18,0,0,0,-,0.00,0.00,2,2,0,1.000,0.00,0.16,1,0,1,0.000,6.07,-0.97,1,0,39.33,57.00
Charlie Lindgren,MTL,6,33.633333333333,7,6,1,0.857,1.78,-0.43,0.89,3,2,1,0.667,1.78,-0.34,2,2,0,1.000,0.00,0.16,2,2,0,1.000,0.00,0.07,0,0,25.14,16.00
Chris Driedger,FLA,12,40.85,11,10,1,0.909,1.47,-0.10,0.59,1,0,1,0.000,1.47,-0.78,2,2,0,1.000,0.00,0.16,3,3,0,1.000,0.00,0.10,3,0,87.45,12.00
Connor Hellebuyck,WPG,58,245.86666666667,50,49,1,0.980,0.24,3.10,3.49,11,10,1,0.909,0.24,1.42,10,10,0,1.000,0.00,0.82,7,7,0,1.000,0.00,0.24,6,3,82.02,14.00
Corey Crawford,CHI,40,196.26666666667,30,27,3,0.900,0.92,-0.54,2.03,6,4,2,0.667,0.61,-0.68,4,3,1,0.750,0.31,-0.67,5,5,0,1.000,0.00,0.17,2,1,86.73,16.00
Cory Schneider,NJD,13,76.05,12,11,1,0.917,0.79,-0.02,0.93,2,2,0,1.000,0.00,0.44,1,0,1,0.000,0.79,-0.92,4,4,0,1.000,0.00,0.14,2,1,77.25,15.00
Craig Anderson,OTT,34,162.28333333333,28,26,2,0.929,0.74,0.29,1.44,6,4,2,0.667,0.74,-0.68,5,5,0,1.000,0.00,0.41,2,2,0,1.000,0.00,0.07,2,1,96.96,19.50
Curtis McElhinney,TBL,18,99.083333333333,18,16,2,0.889,1.21,-0.52,1.91,7,6,1,0.857,0.61,0.54,4,4,0,1.000,0.00,0.33,2,1,1,0.500,0.61,-0.93,4,1,57.11,24.50
Darcy Kuemper,ARI,29,138,18,17,1,0.944,0.43,0.48,1.55,5,4,1,0.800,0.43,0.10,1,1,0,1.000,0.00,0.08,6,6,0,1.000,0.00,0.20,4,0,71.61,17.00
David Ayres,CAR,1,3.9666666666667,0,0,0,-,0.00,0.00,0,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,-,-
David Rittich,CGY,48,214.61666666667,47,40,7,0.851,1.96,-3.15,3.91,12,7,5,0.583,1.40,-2.36,11,9,2,0.818,0.56,-1.10,8,8,0,1.000,0.00,0.27,10,1,63.38,17.43
Devan Dubnyk,MIN,30,125.1,21,19,2,0.905,0.96,-0.28,1.32,3,2,1,0.667,0.48,-0.34,6,6,0,1.000,0.00,0.49,5,4,1,0.800,0.48,-0.83,2,1,58.57,35.00
Elvis Merzlikins,CBJ,33,124.76666666667,14,14,0,1.000,0.00,1.15,1.01,3,3,0,1.000,0.00,0.66,4,4,0,1.000,0.00,0.33,5,5,0,1.000,0.00,0.17,0,0,50.00,-
Eric Comrie,DET,3,11.466666666667,6,5,1,0.833,5.23,-0.51,1.01,5,4,1,0.800,5.23,0.10,1,1,0,1.000,0.00,0.08,0,0,0,-,0.00,0.00,0,3,11.83,3.00
Frederik Andersen,TOR,52,223.26666666667,47,43,4,0.915,1.07,-0.15,4.34,13,11,2,0.846,0.54,0.86,10,8,2,0.800,0.54,-1.18,12,12,0,1.000,0.00,0.41,10,2,58.00,20.25
