Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
Adin Hill,VGK,35,151.48333333333,134,122,12,0.910,4.75,6.52,20.92,38,35,3,0.921,1.19,4.90,40,34,6,0.850,2.38,-0.19,55,52,3,0.945,1.19,1.43,1,30,27.47,24.08
Akira Schmid,NJD,19,78.583333333333,72,62,10,0.861,7.64,-0.05,8.74,14,12,2,0.857,1.53,0.91,18,13,5,0.722,3.82,-2.38,39,36,3,0.923,2.29,0.14,1,8,34.01,26.40
Alex Lyon,DET,44,177.28333333333,170,146,24,0.859,8.12,-0.50,26.85,55,43,12,0.782,4.06,-0.57,43,34,9,0.791,3.05,-2.75,71,68,3,0.958,1.02,2.71,0,33,28.61,22.75
Alex Nedeljkovic,PIT,38,157.85,158,138,20,0.873,7.60,1.84,20.1,38,30,8,0.789,3.04,-0.10,56,50,6,0.893,2.28,2.14,64,58,6,0.906,2.28,-0.85,0,24,30.40,23.70
Alexandar Georgiev,COL,63,324.06666666667,309,264,45,0.854,8.33,-2.29,48.34,117,95,22,0.812,4.07,2.31,78,63,15,0.808,2.78,-3.66,111,103,8,0.928,1.48,0.93,0,74,25.99,18.82
Andrei Vasilevskiy,TBL,52,247.58333333333,215,190,25,0.884,6.06,4.72,31.81,69,60,9,0.870,2.18,5.34,56,48,8,0.857,1.94,0.14,89,81,8,0.910,1.94,-0.84,1,38,28.10,26.04
Anthony Stolarz,FLA,27,148.75,105,90,15,0.857,6.05,-0.49,18.31,46,36,10,0.783,4.03,-0.44,20,18,2,0.900,0.81,0.91,37,34,3,0.919,1.21,-0.02,0,23,25.71,17.47
Anton Forsberg,OTT,30,125.63333333333,108,89,19,0.824,9.07,-4.07,17.52,31,23,8,0.742,3.82,-1.56,38,33,5,0.868,2.39,0.52,39,33,6,0.846,2.87,-2.86,1,17,28.26,21.58
Antti Raanta,CAR,24,90.733333333333,51,38,13,0.745,8.60,-5.95,7.36,19,14,5,0.737,3.31,-1.05,17,13,4,0.765,2.65,-1.53,15,11,4,0.733,2.65,-2.79,0,11,27.02,20.00
Arturs Silovs,VAN,4,26.833333333333,17,14,3,0.824,6.71,-0.65,1.46,2,1,1,0.500,2.24,-0.58,4,4,0,1.000,0.00,0.58,11,9,2,0.818,4.47,-1.11,0,0,33.06,34.00
Arvid Soderblom,CHI,32,143.55,129,105,24,0.814,10.03,-6.17,18.17,41,28,13,0.683,5.43,-4.48,33,27,6,0.818,2.51,-1.20,55,50,5,0.909,2.09,-0.57,1,25,26.75,19.63
Cal Petersen,PHI,5,29.166666666667,22,19,3,0.864,6.17,0.04,3.21,7,6,1,0.857,2.06,0.45,9,8,1,0.889,2.06,0.31,6,5,1,0.833,2.06,-0.52,0,5,28.82,23.00
Calvin Pickard,EDM,24,106.25,72,58,14,0.806,7.91,-4.05,8.74,15,11,4,0.733,2.26,-0.88,23,16,7,0.696,3.95,-3.66,34,31,3,0.912,1.69,-0.26,1,8,30.65,22.79
Cam Talbot,LAK,54,264.43333333333,245,223,22,0.910,4.99,11.86,36.53,67,59,8,0.881,1.82,5.92,58,48,10,0.828,2.27,-1.57,118,114,4,0.966,0.91,5.50,1,43,29.20,20.82
Carter Hart,PHI,26,122.03333333333,89,78,11,0.876,5.41,1.30,14.04,35,29,6,0.829,2.95,1.27,24,22,2,0.917,0.98,1.49,30,27,3,0.900,1.48,-0.59,1,12,25.45,23.45
Casey DeSmith,VAN,29,132.63333333333,121,96,25,0.793,11.31,-8.28,18.82,37,25,12,0.676,5.43,-4.31,38,31,7,0.816,3.17,-1.48,46,40,6,0.870,2.71,-2.30,0,25,25.96,22.12
Cayden Primeau,MTL,23,112.53333333333,124,105,19,0.847,10.13,-1.86,18.08,52,41,11,0.788,5.86,-0.19,32,27,5,0.844,2.67,-0.35,40,37,3,0.925,1.60,0.22,0,20,24.44,18.63
Charlie Lindgren,WSH,50,214.2,217,194,23,0.894,6.44,6.99,33.19,63,51,12,0.810,3.36,1.09,61,56,5,0.918,1.40,3.87,93,87,6,0.935,1.68,1.48,1,39,28.01,18.91
Chris Driedger,SEA,2,9.3,8,6,2,0.750,12.90,-0.89,1.43,5,3,2,0.600,12.90,-0.96,1,1,0,1.000,0.00,0.15,2,2,0,1.000,0.00,0.16,0,1,17.38,6.00
Connor Hellebuyck,WPG,60,278.38333333333,274,236,38,0.861,8.19,-0.13,41.57,94,70,24,0.745,5.17,-4.47,73,64,9,0.877,1.94,1.61,107,102,5,0.953,1.08,3.61,2,51,28.03,18.24
Connor Ingram,ARI,50,242.81666666667,275,236,39,0.858,9.64,-0.99,37.94,80,65,15,0.813,3.71,1.62,83,71,12,0.855,2.97,0.06,112,100,12,0.893,2.97,-2.99,3,43,27.39,24.59
Dan Vladar,CGY,20,85.166666666667,73,62,11,0.849,7.75,-0.91,10.73,21,16,5,0.762,3.52,-0.64,28,24,4,0.857,2.82,0.07,22,20,2,0.909,1.41,-0.23,0,16,28.70,22.55
Daniil Tarasov,CBJ,24,106.83333333333,114,97,17,0.851,9.55,-1.24,15.97,33,25,8,0.758,4.49,-1.14,27,23,4,0.852,2.25,-0.08,54,49,5,0.907,2.81,-0.65,0,19,28.79,21.18
Darcy Kuemper,WSH,33,163.36666666667,147,123,24,0.837,8.81,-3.68,22.08,46,38,8,0.826,2.94,1.56,32,24,8,0.750,2.94,-3.35,69,61,8,0.884,2.94,-2.45,0,31,28.31,22.88
David Rittich,LAK,24,126.83333333333,124,111,13,0.895,6.15,4.14,17.92,30,23,7,0.767,3.31,-0.77,32,29,3,0.906,1.42,1.65,62,59,3,0.952,1.42,1.99,0,21,29.94,23.15
Devin Cooley,SJS,6,27.133333333333,25,24,1,0.960,2.21,2.46,4.51,5,5,0,1.000,0.00,1.04,9,8,1,0.889,2.21,0.31,11,11,0,1.000,0.00,0.89,0,6,30.24,31.00
Devon Levi,BUF,23,103.33333333333,115,98,17,0.852,9.87,-1.10,16.24,37,30,7,0.811,4.06,0.69,34,26,8,0.765,4.65,-3.06,44,42,2,0.955,1.16,1.54,0,16,26.25,20.82
Dustin Wolf,CGY,17,75.3,72,60,12,0.833,9.56,-2.05,10.68,26,19,7,0.731,5.58,-1.60,21,19,2,0.905,1.59,1.05,25,22,3,0.880,2.39,-0.99,1,13,26.01,18.67
Elvis Merzlikins,CBJ,41,174.05,179,158,21,0.883,7.24,3.74,26.17,45,39,6,0.867,2.07,3.35,65,57,8,0.877,2.76,1.45,67,60,7,0.896,2.41,-1.61,2,30,29.31,24.90
Eric Comrie,BUF,10,42.75,44,37,7,0.841,9.82,-0.92,6.73,18,15,3,0.833,4.21,0.74,15,12,3,0.800,4.21,-0.82,11,10,1,0.909,1.40,-0.11,0,7,25.20,19.29
Felix Sandstrom,PHI,5,24.483333333333,21,18,3,0.857,7.35,-0.10,2.9,6,5,1,0.833,2.45,0.25,5,4,1,0.800,2.45,-0.27,10,9,1,0.900,2.45,-0.20,0,5,28.95,26.33
Filip Gustavsson,MIN,45,239.95,264,232,32,0.879,8.00,4.49,37.3,75,58,17,0.773,4.25,-1.42,78,71,7,0.910,1.75,4.34,111,103,8,0.928,2.00,0.93,1,41,28.26,19.44
Frederik Andersen,CAR,16,95.533333333333,60,56,4,0.933,2.51,4.29,10.51,27,25,2,0.926,1.26,3.61,15,13,2,0.867,1.26,0.18,18,18,0,1.000,0.00,1.45,1,12,23.47,19.75
Hunter Shepard,WSH,4,9.2166666666667,4,2,2,0.500,13.02,-1.45,0.39,1,0,1,0.000,6.51,-0.79,1,0,1,0.000,6.51,-0.85,2,2,0,1.000,0.00,0.16,0,0,33.50,24.00
Igor Shesterkin,NYR,55,260,194,168,26,0.866,6.00,0.81,29.22,61,46,15,0.754,3.46,-2.32,54,48,6,0.889,1.38,1.85,79,74,5,0.937,1.15,1.36,1,48,28.41,19.31
Ilya Samsonov,TOR,40,198.25,167,138,29,0.826,8.78,-5.92,22.47,41,29,12,0.707,3.63,-3.48,56,43,13,0.768,3.93,-4.86,69,65,4,0.942,1.21,1.55,3,26,30.45,22.14
Ilya Sorokin,NYI,56,234.63333333333,248,203,45,0.819,11.51,-10.72,35.62,79,61,18,0.772,4.60,-1.58,78,64,14,0.821,3.58,-2.66,88,75,13,0.852,3.32,-5.92,1,48,27.65,22.22
Ivan Fedotov,PHI,3,2,1,1,0,1.000,0.00,0.14,0.05,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.08,0,0,42.00,-
Ivan Prosvetov,COL,11,39.183333333333,25,21,4,0.840,6.13,-0.54,3.99,10,8,2,0.800,3.06,0.08,7,5,2,0.714,3.06,-0.98,8,8,0,1.000,0.00,0.64,0,4,27.80,19.25
Jack Campbell,EDM,5,27.65,27,24,3,0.889,6.51,0.73,4.12,9,8,1,0.889,2.17,0.87,11,9,2,0.818,4.34,-0.40,7,7,0,1.000,0.00,0.56,0,5,24.70,16.00
Jacob Markstrom,CGY,48,228.38333333333,199,175,24,0.879,6.31,3.51,33.05,66,54,12,0.818,3.15,1.71,65,58,7,0.892,1.84,2.45,68,63,5,0.926,1.31,0.47,1,45,26.24,21.46
Jake Allen,"MTL, NJD",34,166.81666666667,159,135,24,0.849,8.63,-2.02,26.9,65,53,12,0.815,4.32,1.51,46,42,4,0.913,1.44,2.69,48,40,8,0.833,2.88,-4.14,2,35,24.48,18.71
Jake Oettinger,DAL,54,253.48333333333,237,209,28,0.882,6.63,4.76,31.95,59,48,11,0.814,2.60,1.26,69,59,10,0.855,2.37,0.03,107,100,7,0.935,1.66,1.61,1,35,29.92,21.93
James Reimer,DET,25,109.55,126,113,13,0.897,7.12,4.42,19.29,45,43,2,0.956,1.10,7.35,34,26,8,0.765,4.38,-3.06,47,44,3,0.936,1.64,0.78,0,25,25.44,24.77
Jeremy Swayman,BOS,44,249.86666666667,219,194,25,0.886,6.00,5.27,31.95,64,49,15,0.766,3.60,-1.70,68,62,6,0.912,1.44,3.88,84,80,4,0.952,0.96,2.76,1,43,28.83,17.20
Jesper Wallstedt,MIN,3,9.0833333333333,5,5,0,1.000,0.00,0.69,0.75,1,1,0,1.000,0.00,0.21,1,1,0,1.000,0.00,0.15,3,3,0,1.000,0.00,0.24,0,0,30.60,-
Jet Greaves,CBJ,9,41.55,55,48,7,0.873,10.11,0.60,8.96,21,18,3,0.857,4.33,1.36,12,11,1,0.917,1.44,0.74,22,19,3,0.864,4.33,-1.23,0,17,25.65,19.71
Jiri Patera,VGK,6,26.2,38,30,8,0.789,18.32,-2.75,4.28,11,8,3,0.727,6.87,-0.71,9,6,3,0.667,6.87,-1.69,18,16,2,0.889,4.58,-0.55,0,1,27.84,19.88
Joel Hofer,STL,30,107.38333333333,104,89,15,0.856,8.38,-0.62,16.43,34,27,7,0.794,3.91,0.07,34,27,7,0.794,3.91,-2.06,36,35,1,0.972,0.56,1.90,0,17,24.11,20.73
Joey Daccord,SEA,50,199.85,180,155,25,0.861,7.51,-0.12,28.36,45,33,12,0.733,3.60,-2.65,49,40,9,0.816,2.70,-1.88,84,80,4,0.952,1.20,2.76,0,31,31.21,21.04
John Gibson,ANA,46,252.45,265,219,46,0.826,10.93,-9.37,39.63,83,64,19,0.771,4.52,-1.75,79,65,14,0.823,3.33,-2.52,102,89,13,0.873,3.09,-4.79,1,55,27.46,22.37
Jonas Johansson,TBL,26,108.93333333333,99,86,13,0.869,7.16,0.68,13.32,34,28,6,0.824,3.30,1.07,31,27,4,0.871,2.20,0.51,34,31,3,0.912,1.65,-0.26,0,16,27.15,24.69
Jonathan Quick,NYR,27,131.48333333333,109,99,10,0.908,4.56,5.07,16.06,29,26,3,0.897,1.37,3.03,29,25,4,0.862,1.83,0.22,50,47,3,0.940,1.37,1.02,1,19,30.23,20.20
Joonas Korpisalo,OTT,55,231.86666666667,217,178,39,0.820,10.09,-9.01,31.77,69,55,14,0.797,3.62,0.34,54,41,13,0.759,3.36,-5.15,92,80,12,0.870,3.11,-4.60,2,46,28.04,23.90
Jordan Binnington,STL,57,257.43333333333,234,203,31,0.868,7.23,1.34,39.63,83,67,16,0.807,3.73,1.25,65,55,10,0.846,2.33,-0.55,85,80,5,0.941,1.17,1.84,1,53,25.53,17.45
Joseph Woll,TOR,25,117.06666666667,124,112,12,0.903,6.15,5.14,16.72,34,30,4,0.882,2.05,3.07,36,32,4,0.889,2.05,1.23,54,50,4,0.926,2.05,0.35,0,23,28.99,21.42
Justus Annunen,COL,14,67.233333333333,63,59,4,0.937,3.57,4.71,10.32,20,17,3,0.850,2.68,1.16,13,13,0,1.000,0.00,1.89,30,29,1,0.967,0.89,1.41,0,15,30.75,23.50
Juuse Saros,NSH,64,310.36666666667,270,233,37,0.863,7.15,0.32,40.95,82,66,16,0.805,3.09,1.04,78,68,10,0.872,1.93,1.34,109,98,11,0.899,2.13,-2.23,0,63,27.15,20.89
Kaapo Kahkonen,"NJD, SJS",37,158.31666666667,148,123,25,0.831,9.47,-4.54,20.74,40,31,9,0.775,3.41,-0.69,51,43,8,0.843,3.03,-0.59,57,49,8,0.860,3.03,-3.41,1,15,28.01,22.80
Karel Vejmelka,ARI,38,181.51666666667,174,150,24,0.862,7.93,0.05,27.42,46,35,11,0.761,3.64,-1.44,62,55,7,0.887,2.31,2.01,65,59,6,0.908,1.98,-0.77,0,34,29.36,22.50
Kenneth Appleby,NYI,1,1.6166666666667,0,0,0,-,0.00,0.00,0.05,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,0,-,0.00,0.00,0,0,-,-
Kevin Lankinen,NSH,24,92.733333333333,84,64,20,0.762,12.94,-8.39,14.19,29,21,8,0.724,5.18,-1.97,25,20,5,0.800,3.24,-1.37,30,23,7,0.767,4.53,-4.59,1,19,26.15,23.15
Laurent Brossoit,WPG,23,98.866666666667,87,74,13,0.851,7.89,-0.97,14.2,22,19,3,0.864,1.82,1.57,29,21,8,0.724,4.86,-3.78,36,34,2,0.944,1.21,0.90,0,19,27.90,20.62
Linus Ullmark,BOS,41,197.55,163,141,22,0.865,6.68,0.53,27.36,61,47,14,0.770,4.25,-1.32,45,40,5,0.889,1.52,1.54,57,54,3,0.947,0.91,1.59,0,38,26.66,16.50
Logan Thompson,VGK,46,191.43333333333,165,141,24,0.855,7.52,-1.19,26.15,43,28,15,0.651,4.70,-6.06,41,35,6,0.854,1.88,-0.04,79,76,3,0.962,0.94,3.36,1,36,30.53,17.79
Louis Domingue,NYR,1,2,2,2,0,1.000,0.00,0.28,0.12,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.15,1,1,0,1.000,0.00,0.08,0,0,33.50,-
Lukas Dostal,ANA,44,263.31666666667,294,250,44,0.850,10.03,-3.36,43.36,89,69,20,0.775,4.56,-1.51,82,72,10,0.878,2.28,1.92,122,108,14,0.885,3.19,-4.18,2,57,27.87,22.61
Mackenzie Blackwood,SJS,44,224.08333333333,236,203,33,0.860,8.84,-0.38,36.28,82,64,18,0.780,4.82,-0.96,75,63,12,0.840,3.21,-1.10,77,74,3,0.961,0.80,3.20,0,45,27.72,19.21
Mads Sogaard,OTT,6,26.616666666667,25,22,3,0.880,6.76,0.46,2.43,5,5,0,1.000,0.00,1.04,6,6,0,1.000,0.00,0.87,14,11,3,0.786,6.76,-1.87,0,4,32.64,47.33
Magnus Chrona,SJS,9,32.766666666667,47,42,5,0.894,9.16,1.50,7.06,13,12,1,0.923,1.83,1.70,16,14,2,0.875,3.66,0.33,18,16,2,0.889,3.66,-0.55,0,10,28.66,22.60
Magnus Hellberg,PIT,3,10,4,4,0,1.000,0.00,0.55,0.89,1,1,0,1.000,0.00,0.21,1,1,0,1.000,0.00,0.15,2,2,0,1.000,0.00,0.16,0,1,31.25,-
Malcolm Subban,CBJ,1,5.5,7,6,1,0.857,10.91,-0.03,1.4,3,3,0,1.000,0.00,0.62,1,0,1,0.000,10.91,-0.85,3,3,0,1.000,0.00,0.24,0,1,24.71,20.00
Marc-Andre Fleury,MIN,40,183.46666666667,187,152,35,0.813,11.45,-9.15,26.91,60,42,18,0.700,5.89,-5.53,58,49,9,0.845,2.94,-0.57,69,61,8,0.884,2.62,-2.45,0,41,27.00,20.74
Martin Jones,TOR,22,77.383333333333,85,71,14,0.835,10.86,-2.25,11.34,25,17,8,0.680,6.20,-2.81,25,21,4,0.840,3.10,-0.37,35,33,2,0.943,1.55,0.82,0,11,28.64,19.21
Matt Murray,DAL,1,10.366666666667,7,7,0,1.000,0.00,0.97,1.14,2,2,0,1.000,0.00,0.42,2,2,0,1.000,0.00,0.29,3,3,0,1.000,0.00,0.24,0,2,38.57,-
