Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
Adin Hill,VGK,50,2940.2166666667,1295,1174,121,0.907,2.47,8.64,129.28,296,237,59,0.801,1.20,-1.85,348,307,41,0.882,0.84,2.05,587,566,21,0.964,0.43,3.94,77,282,36.04,19.99
Akira Schmid,VGK,5,238.1,90,85,5,0.944,1.26,4.01,8.68,16,13,3,0.813,0.76,0.09,33,32,1,0.970,0.25,3.08,40,39,1,0.975,0.25,0.70,2,15,33.81,20.00
Aleksei Kolosov,PHI,17,901.91666666667,406,352,54,0.867,3.59,-13.35,41.76,110,79,31,0.718,2.06,-9.76,105,92,13,0.876,0.86,-0.01,173,163,10,0.942,0.67,-2.65,35,83,33.63,17.96
Ales Stezka,SEA,1,58.333333333333,23,20,3,0.870,3.09,-0.70,2.31,8,7,1,0.875,1.03,0.54,6,4,2,0.667,2.06,-1.26,8,8,0,1.000,0.00,0.34,0,1,32.52,19.00
Alex Lyon,DET,30,1559.6333333333,705,632,73,0.896,2.81,-2.42,76.23,191,156,35,0.817,1.35,1.88,184,161,23,0.875,0.88,-0.24,298,283,15,0.950,0.58,-2.34,51,135,34.43,22.58
Alex Nedeljkovic,PIT,38,2150.85,1054,942,112,0.894,3.12,-6.48,104.04,281,225,56,0.801,1.56,-1.74,289,250,39,0.865,1.09,-3.25,428,411,17,0.960,0.47,1.19,92,219,36.38,20.59
Alexandar Georgiev,"COL, SJS",49,2671.8,1318,1153,165,0.875,3.71,-33.05,141.71,370,291,79,0.786,1.77,-7.56,370,327,43,0.884,0.97,2.77,523,480,43,0.918,0.97,-20.78,100,263,32.95,20.45
Andrei Vasilevskiy,TBL,63,3743.0833333333,1717,1581,136,0.921,2.18,35.89,162.74,399,339,60,0.850,0.96,17.04,487,433,54,0.889,0.87,6.24,739,718,21,0.972,0.34,10.40,141,287,36.14,22.22
Anthony Stolarz,TOR,34,1986.9,955,884,71,0.926,2.14,24.61,100.09,221,187,34,0.846,1.03,8.67,241,217,24,0.900,0.72,5.81,441,428,13,0.971,0.39,5.74,83,215,37.84,21.21
Anton Forsberg,OTT,30,1676.5333333333,768,692,76,0.901,2.72,0.89,72.12,188,149,39,0.793,1.40,-2.70,204,182,22,0.892,0.79,3.23,337,322,15,0.955,0.54,-0.68,78,134,35.73,20.08
Arturs Silovs,VAN,10,542.51666666667,238,205,33,0.861,3.65,-9.17,22.26,63,48,15,0.762,1.66,-2.84,50,38,12,0.760,1.33,-5.82,114,108,6,0.947,0.66,-1.16,17,42,35.32,20.91
Arvid Soderblom,CHI,36,2096.5,1087,976,111,0.898,3.18,-2.18,110.12,298,233,65,0.782,1.86,-7.46,274,250,24,0.912,0.69,9.89,463,441,22,0.952,0.63,-2.33,84,195,34.59,20.03
Brandon Halverson,TBL,1,57.95,24,19,5,0.792,5.18,-2.60,2.89,9,5,4,0.556,4.14,-2.26,9,8,1,0.889,1.04,0.11,5,5,0,1.000,0.00,0.21,4,4,28.79,10.40
Calvin Pickard,EDM,35,1862.5833333333,837,756,81,0.903,2.61,2.79,75.34,155,123,32,0.794,1.03,-2.07,230,197,33,0.857,1.06,-4.55,403,387,16,0.960,0.52,1.12,58,131,37.48,23.96
Cam Talbot,DET,47,2642.1666666667,1296,1167,129,0.900,2.93,0.74,130.82,314,250,64,0.796,1.45,-3.37,334,292,42,0.874,0.95,-0.69,584,561,23,0.961,0.52,1.82,101,260,36.56,19.33
Casey DeSmith,DAL,27,1504.5,761,696,65,0.915,2.59,11.18,79.27,193,160,33,0.829,1.32,4.27,198,180,18,0.909,0.72,6.49,327,313,14,0.957,0.56,-0.10,53,151,36.49,21.26
Cayden Primeau,MTL,11,523.7,250,209,41,0.836,4.70,-15.97,30.31,77,60,17,0.779,1.95,-2.13,82,67,15,0.817,1.72,-4.86,80,71,9,0.888,1.03,-5.60,27,47,32.71,21.46
Charlie Lindgren,WSH,39,2287,987,883,104,0.895,2.73,-5.19,102.64,247,183,64,0.741,1.68,-16.31,239,216,23,0.904,0.60,6.56,455,438,17,0.963,0.45,2.33,73,165,35.90,18.53
Clay Stevenson,WSH,1,60,38,33,5,0.868,5.00,-1.20,3.06,8,6,2,0.750,2.00,-0.46,9,6,3,0.667,3.00,-1.89,17,17,0,1.000,0.00,0.72,3,4,38.21,18.00
Connor Hellebuyck,WPG,63,3741.3666666667,1664,1539,125,0.925,2.00,41.59,167.96,399,341,58,0.855,0.93,19.04,401,362,39,0.903,0.63,10.60,763,735,28,0.963,0.45,4.42,96,344,38.40,22.31
Connor Ingram,UTA,22,1210.1166666667,559,493,66,0.882,3.27,-10.04,59,133,106,27,0.797,1.34,-1.32,140,119,21,0.850,1.04,-3.68,248,231,17,0.931,0.84,-6.46,29,109,37.98,23.06
Dan Vladar,CGY,30,1781.0333333333,810,727,83,0.898,2.80,-1.91,76.77,194,149,45,0.768,1.52,-7.54,206,181,25,0.879,0.84,0.48,376,363,13,0.965,0.44,2.98,65,142,35.51,19.86
Daniil Tarasov,CBJ,20,1100.4166666667,544,479,65,0.881,3.54,-10.54,59.04,163,127,36,0.779,1.96,-4.53,138,117,21,0.848,1.15,-3.93,227,219,8,0.965,0.44,1.65,39,118,33.32,19.60
Darcy Kuemper,LAK,50,2973.65,1268,1168,100,0.921,2.02,26.94,127.28,326,277,49,0.850,0.99,13.95,332,301,31,0.907,0.63,10.07,537,517,20,0.963,0.40,2.82,130,239,35.66,21.83
David Rittich,LAK,34,1860.4666666667,772,684,88,0.886,2.84,-10.71,74.18,202,158,44,0.782,1.42,-5.00,200,172,28,0.860,0.90,-3.26,316,300,16,0.949,0.52,-2.57,85,147,36.99,21.42
Dennis Hildeby,TOR,6,360.81666666667,157,137,20,0.873,3.33,-4.28,15.74,35,27,8,0.771,1.33,-1.24,47,38,9,0.809,1.50,-3.19,66,63,3,0.955,0.50,-0.20,9,32,35.65,23.65
Devon Levi,BUF,9,480.63333333333,258,225,33,0.872,4.12,-7.17,24.68,63,46,17,0.730,2.12,-4.84,76,64,12,0.842,1.50,-2.60,102,98,4,0.961,0.50,0.33,23,48,36.97,20.48
Drew Commesso,CHI,2,71.35,26,22,4,0.846,3.36,-1.40,3.7,6,3,3,0.500,2.52,-1.84,8,7,1,0.875,0.84,-0.01,9,9,0,1.000,0.00,0.38,5,9,38.73,14.50
Dustin Tokarski,CAR,6,358.31666666667,132,119,13,0.902,2.18,0.21,12.86,34,27,7,0.794,1.17,-0.43,33,28,5,0.848,0.84,-0.92,52,51,1,0.981,0.17,1.21,11,20,40.56,21.08
Dustin Wolf,CGY,53,3182.3666666667,1549,1409,140,0.910,2.64,15.07,152.74,405,338,67,0.835,1.26,11.20,429,378,51,0.881,0.96,2.07,625,603,22,0.965,0.41,4.56,132,277,35.46,20.67
Elvis Merzlikins,CBJ,53,3170.9166666667,1557,1389,168,0.892,3.18,-12.13,156.72,430,351,79,0.816,1.49,4.03,381,326,55,0.856,1.04,-7.87,677,643,34,0.950,0.64,-5.23,116,304,34.76,21.20
Eric Comrie,WPG,20,1179.55,547,500,47,0.914,2.39,7.76,50.1,117,96,21,0.821,1.07,1.59,151,134,17,0.887,0.86,1.68,255,246,9,0.965,0.46,1.84,43,95,36.47,22.36
Erik Portillo,LAK,1,58.616666666667,29,28,1,0.966,1.02,1.90,3.27,9,8,1,0.889,1.02,0.74,6,6,0,1.000,0.00,0.74,12,12,0,1.000,0.00,0.51,3,5,33.76,9.00
Filip Gustavsson,MIN,58,3423.5833333333,1691,1545,146,0.914,2.56,23.29,155.23,389,326,63,0.838,1.10,12.11,452,395,57,0.874,1.00,-1.09,778,752,26,0.967,0.46,7.06,119,289,36.73,21.16
Frederik Andersen,CAR,22,1319.5166666667,545,490,55,0.899,2.50,-0.44,61.73,180,148,32,0.822,1.46,2.76,130,116,14,0.892,0.64,2.08,199,190,9,0.955,0.41,-0.54,44,110,34.34,18.45
Georgi Romanov,SJS,8,416.93333333333,219,192,27,0.877,3.89,-5.08,21.69,51,39,12,0.765,1.73,-2.15,61,51,10,0.836,1.44,-2.45,100,95,5,0.950,0.72,-0.75,15,43,35.73,20.78
Hunter Shepard,WSH,1,60,26,19,7,0.731,7.00,-4.40,2.79,10,5,5,0.500,5.00,-3.07,8,7,1,0.875,1.00,-0.01,6,5,1,0.833,1.00,-0.75,1,4,31.15,21.29
Igor Shesterkin,NYR,61,3505.1333333333,1749,1582,167,0.905,2.86,8.09,186,504,411,93,0.815,1.59,4.32,466,412,54,0.884,0.92,3.64,695,675,20,0.971,0.34,9.53,150,349,33.79,19.42
Ilya Samsonov,VGK,29,1745.3666666667,751,669,82,0.891,2.82,-6.82,78.54,196,157,39,0.801,1.34,-1.15,180,158,22,0.878,0.76,0.27,323,302,21,0.935,0.72,-7.27,50,167,36.05,22.06
Ilya Sorokin,NYI,61,3499.45,1693,1535,158,0.907,2.71,11.49,169.87,440,367,73,0.834,1.25,11.96,419,368,51,0.878,0.87,0.83,763,729,34,0.955,0.58,-1.58,65,328,34.45,21.16
Ivan Fedotov,PHI,26,1429.0166666667,624,549,75,0.880,3.15,-12.53,61.11,148,117,31,0.791,1.30,-2.42,179,149,30,0.832,1.26,-7.86,258,244,14,0.946,0.59,-3.04,55,120,37.00,22.75
Jacob Markstrom,NJD,49,2903.0166666667,1213,1092,121,0.900,2.50,0.44,122.93,298,242,56,0.812,1.16,1.54,335,293,42,0.875,0.87,-0.56,507,484,23,0.955,0.48,-1.46,119,215,37.96,23.13
Jake Allen,NJD,31,1738.1666666667,821,744,77,0.906,2.66,5.19,91.71,223,176,47,0.789,1.62,-3.94,201,185,16,0.920,0.55,8.86,363,350,13,0.964,0.45,2.42,66,190,34.95,20.43
Jake Oettinger,DAL,58,3410.0666666667,1611,1464,147,0.909,2.59,14.28,161.08,386,300,86,0.777,1.51,-11.47,399,358,41,0.897,0.72,8.35,724,704,20,0.972,0.35,10.76,118,280,38.40,18.34
Jakub Dobes,MTL,16,874.78333333333,440,400,40,0.909,2.74,4.05,46.81,112,92,20,0.821,1.37,1.63,126,111,15,0.881,1.03,0.59,180,175,5,0.972,0.34,2.65,29,104,36.84,22.20
Jakub Skarek,NYI,2,76.15,39,34,5,0.872,3.94,-1.10,3.5,10,6,4,0.600,3.15,-2.07,11,11,0,1.000,0.00,1.36,18,17,1,0.944,0.79,-0.24,1,10,31.67,15.80
James Reimer,"ANA, BUF",24,1362.8333333333,663,594,69,0.896,3.04,-2.63,71.53,175,133,42,0.760,1.85,-8.21,179,164,15,0.916,0.66,7.14,278,266,12,0.957,0.53,-0.19,62,129,34.20,18.70
Jaxson Stauber,UTA,6,313.18333333333,158,141,17,0.892,3.26,-1.18,15.88,37,30,7,0.811,1.34,0.14,40,32,8,0.800,1.53,-3.05,75,73,2,0.973,0.38,1.19,9,27,35.48,20.53
Jeremy Swayman,BOS,58,3390.5833333333,1630,1454,176,0.892,3.11,-12.82,160.56,403,319,84,0.792,1.49,-6.18,444,370,74,0.833,1.31,-19.08,698,680,18,0.974,0.32,11.66,152,287,36.11,20.13
Jesper Wallstedt,MIN,2,117.43333333333,51,43,8,0.843,4.09,-2.89,4.61,11,8,3,0.727,1.53,-0.88,14,10,4,0.714,2.04,-2.27,25,24,1,0.960,0.51,0.06,3,12,33.25,24.38
Jet Greaves,CBJ,11,660.1,339,318,21,0.938,1.91,12.94,34.25,90,80,10,0.889,0.91,7.38,108,103,5,0.954,0.45,8.36,132,126,6,0.955,0.55,-0.39,23,76,33.77,23.48
Joel Blomqvist,PIT,15,772.45,426,377,49,0.885,3.81,-6.35,41.15,107,93,14,0.869,1.09,6.66,120,99,21,0.825,1.63,-6.16,175,161,14,0.920,1.09,-6.56,35,71,35.93,26.53
Joel Hofer,STL,31,1678.8166666667,767,693,74,0.904,2.64,2.79,68.65,166,131,35,0.789,1.25,-2.95,196,166,30,0.847,1.07,-5.76,358,349,9,0.975,0.32,6.21,77,130,36.91,19.72
Joey Daccord,SEA,57,3295.25,1600,1449,151,0.906,2.75,9.18,166.81,397,320,77,0.806,1.40,-0.34,404,360,44,0.891,0.80,5.97,715,685,30,0.958,0.55,0.38,82,366,36.32,20.82
John Gibson,ANA,29,1562.15,812,740,72,0.911,2.77,9.29,81.29,214,169,45,0.790,1.73,-3.68,203,184,19,0.906,0.73,6.11,366,358,8,0.978,0.31,7.55,72,151,34.55,18.17
Jonas Johansson,TBL,19,1110.25,553,495,58,0.895,3.13,-2.64,57.25,157,133,24,0.847,1.30,6.32,136,114,22,0.838,1.19,-5.18,229,217,12,0.948,0.65,-2.27,43,114,36.00,23.60
Jonathan Quick,NYR,24,1325.6833333333,656,586,70,0.893,3.17,-4.33,65.23,187,151,36,0.807,1.63,0.11,173,148,25,0.855,1.13,-3.60,269,260,9,0.967,0.41,2.43,48,130,34.43,20.16
