Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
Adin Hill,VGK,50,2599.3833333333,1119,1022,97,0.913,2.24,5.83,104.81,252,200,52,0.794,1.20,-4.93,303,273,30,0.901,0.69,5.31,509,494,15,0.971,0.35,2.87,70,252,36.22,19.40
Akira Schmid,VGK,5,196.1,77,73,4,0.948,1.22,3.08,6.7,11,9,2,0.818,0.61,0.05,28,27,1,0.964,0.31,2.26,37,36,1,0.973,0.31,0.30,2,14,35.69,22.75
Aleksei Kolosov,PHI,17,800.88333333333,343,300,43,0.875,3.22,-11.48,33.1,87,64,23,0.736,1.72,-6.75,93,82,11,0.882,0.82,-0.16,149,140,9,0.940,0.67,-3.77,34,74,33.52,18.35
Ales Stezka,SEA,1,56.333333333333,21,19,2,0.905,2.13,-0.07,2.21,8,7,1,0.875,1.07,0.49,5,4,1,0.800,1.07,-0.42,8,8,0,1.000,0.00,0.28,0,1,27.29,20.00
Alex Lyon,DET,30,1328.7,597,539,58,0.903,2.62,-3.14,58.85,160,130,30,0.813,1.35,-0.12,157,140,17,0.892,0.77,1.30,251,240,11,0.956,0.50,-2.19,48,111,35.04,22.21
Alex Nedeljkovic,PIT,38,1832.55,875,785,90,0.897,2.95,-9.59,82.74,243,195,48,0.802,1.57,-2.61,227,198,29,0.872,0.95,-2.55,357,344,13,0.964,0.43,-0.47,85,192,36.05,20.24
Alexandar Georgiev,"COL, SJS",49,2293,1084,963,121,0.888,3.17,-21.38,106.1,299,234,65,0.783,1.70,-9.16,298,268,30,0.899,0.78,4.73,443,417,26,0.941,0.68,-10.45,90,214,33.28,19.61
Andrei Vasilevskiy,TBL,63,3169.6666666667,1458,1356,102,0.930,1.93,31.99,123.97,322,280,42,0.870,0.80,18.14,410,367,43,0.895,0.81,4.78,646,630,16,0.975,0.30,6.68,132,235,36.73,23.11
Anthony Stolarz,TOR,34,1642.25,770,721,49,0.936,1.79,21.76,72.91,176,150,26,0.852,0.95,6.87,189,172,17,0.910,0.62,5.03,368,362,6,0.984,0.22,6.92,75,184,37.45,19.67
Anton Forsberg,OTT,30,1410.05,644,589,55,0.915,2.34,4.18,54.7,151,120,31,0.795,1.32,-2.80,162,148,14,0.914,0.60,4.88,297,287,10,0.966,0.43,0.43,71,117,36.47,18.65
Arturs Silovs,VAN,10,451.26666666667,202,175,27,0.866,3.59,-8.44,17.47,52,42,10,0.808,1.33,-0.29,43,31,12,0.721,1.60,-6.99,97,92,5,0.948,0.66,-1.59,16,38,36.70,21.81
Arvid Soderblom,CHI,36,1824.1666666667,933,837,96,0.897,3.16,-10.26,85,245,190,55,0.776,1.81,-9.24,237,215,22,0.907,0.72,5.62,407,388,19,0.953,0.62,-4.71,78,164,34.94,20.82
Brandon Halverson,TBL,1,52.566666666667,20,15,5,0.750,5.71,-3.16,2.67,9,5,4,0.556,4.57,-2.32,8,7,1,0.875,1.14,-0.07,3,3,0,1.000,0.00,0.11,2,4,20.85,10.40
Calvin Pickard,EDM,35,1588.0166666667,719,657,62,0.914,2.34,4.08,58.87,135,110,25,0.815,0.94,0.21,195,169,26,0.867,0.98,-3.27,354,343,11,0.969,0.42,1.43,49,113,36.70,24.55
Cam Talbot,DET,47,2288.7666666667,1105,1016,89,0.919,2.33,12.55,103.9,255,212,43,0.831,1.13,4.63,278,246,32,0.885,0.84,0.40,517,503,14,0.973,0.37,4.15,94,235,37.20,19.51
Casey DeSmith,DAL,27,1262.8666666667,639,590,49,0.923,2.33,9.72,62.13,161,133,28,0.826,1.33,2.07,166,152,14,0.916,0.67,5.35,277,270,7,0.975,0.33,2.72,46,133,36.33,19.55
Cayden Primeau,MTL,11,420.73333333333,196,161,35,0.821,4.99,-16.99,21.46,60,45,15,0.750,2.14,-3.79,65,51,14,0.785,2.00,-6.42,63,57,6,0.905,0.86,-3.79,25,38,32.06,19.74
Charlie Lindgren,WSH,39,1911.9,785,704,81,0.897,2.54,-8.86,72.72,193,143,50,0.741,1.57,-13.95,194,176,18,0.907,0.56,4.61,362,349,13,0.964,0.41,-0.29,64,131,36.04,18.35
Clay Stevenson,WSH,1,53.916666666667,33,30,3,0.909,3.34,0.03,2.28,6,4,2,0.667,2.23,-0.88,6,5,1,0.833,1.11,-0.30,17,17,0,1.000,0.00,0.60,3,3,41.15,17.33
Connor Hellebuyck,WPG,63,3226.9,1403,1312,91,0.935,1.69,37.93,127.93,323,278,45,0.861,0.84,15.33,329,300,29,0.912,0.54,9.34,671,654,17,0.975,0.32,6.56,82,292,38.60,21.64
Connor Ingram,UTA,22,1032.4833333333,460,409,51,0.889,2.96,-8.73,41.41,99,77,22,0.778,1.28,-3.51,112,97,15,0.866,0.87,-1.95,219,206,13,0.941,0.76,-5.31,23,85,38.77,22.82
Dan Vladar,CGY,30,1516,682,623,59,0.913,2.34,3.68,59.53,160,125,35,0.781,1.39,-5.12,168,150,18,0.893,0.71,1.58,323,317,6,0.981,0.24,5.34,59,121,36.29,18.68
Daniil Tarasov,CBJ,20,950.25,444,390,54,0.878,3.41,-13.20,44.99,127,97,30,0.764,1.89,-6.28,106,89,17,0.840,1.07,-4.65,198,191,7,0.965,0.44,-0.05,35,103,34.18,19.91
Darcy Kuemper,LAK,50,2504.3166666667,1034,959,75,0.927,1.80,20.02,90.91,240,203,37,0.846,0.89,7.83,264,243,21,0.920,0.50,9.77,471,454,17,0.964,0.41,-0.46,123,197,36.81,23.31
David Rittich,LAK,34,1610.6166666667,663,597,66,0.900,2.46,-5.07,59.47,164,131,33,0.799,1.23,-2.37,172,149,23,0.866,0.86,-2.96,281,271,10,0.964,0.37,-0.13,77,132,37.07,21.39
Dennis Hildeby,TOR,6,308.18333333333,130,113,17,0.869,3.31,-5.05,13.21,27,20,7,0.741,1.36,-1.96,40,32,8,0.800,1.56,-3.34,55,53,2,0.964,0.39,-0.07,8,28,36.62,23.76
Devon Levi,BUF,9,401.26666666667,200,175,25,0.875,3.74,-6.62,17.51,47,34,13,0.723,1.94,-4.22,59,51,8,0.864,1.20,-1.12,79,75,4,0.949,0.60,-1.23,20,42,37.88,21.84
Drew Commesso,CHI,2,57.35,19,15,4,0.789,4.18,-2.25,2.63,4,1,3,0.250,3.14,-2.25,6,5,1,0.833,1.05,-0.30,6,6,0,1.000,0.00,0.21,5,7,43.11,14.50
Dustin Tokarski,CAR,6,298.86666666667,106,94,12,0.887,2.41,-2.26,10,27,21,6,0.778,1.20,-0.96,25,20,5,0.800,1.00,-2.09,46,45,1,0.978,0.20,0.61,8,17,38.18,22.00
Dustin Wolf,CGY,53,2677.05,1278,1174,104,0.919,2.33,13.45,114.15,318,269,49,0.846,1.10,10.39,346,307,39,0.887,0.87,1.32,536,520,16,0.970,0.36,2.82,119,237,36.24,21.25
Elvis Merzlikins,CBJ,53,2736,1306,1180,126,0.904,2.76,-5.98,121.74,352,293,59,0.832,1.29,6.74,312,271,41,0.869,0.90,-4.64,578,552,26,0.955,0.57,-5.71,109,259,35.40,20.96
Eric Comrie,WPG,20,1016.2333333333,473,437,36,0.924,2.13,7.47,40.29,99,83,16,0.838,0.94,2.49,129,116,13,0.899,0.77,2.03,229,222,7,0.969,0.41,1.04,32,84,35.81,22.72
Erik Portillo,LAK,1,48.616666666667,22,21,1,0.955,1.23,1.02,2.18,7,6,1,0.857,1.23,0.31,4,4,0,1.000,0.00,0.47,9,9,0,1.000,0.00,0.32,3,3,35.91,9.00
Filip Gustavsson,MIN,58,2947.0666666667,1396,1289,107,0.923,2.18,21.29,119.46,328,275,53,0.838,1.08,8.26,356,317,39,0.890,0.79,2.49,655,640,15,0.977,0.31,8.00,107,249,36.60,19.69
Frederik Andersen,CAR,22,1081.65,437,395,42,0.904,2.33,-1.84,44.64,144,119,25,0.826,1.39,1.90,101,91,10,0.901,0.55,1.77,163,156,7,0.957,0.39,-1.28,39,91,33.94,16.98
Georgi Romanov,SJS,8,347.36666666667,177,156,21,0.881,3.63,-4.73,14.75,37,29,8,0.784,1.38,-1.09,46,37,9,0.804,1.55,-3.64,88,84,4,0.955,0.69,-0.91,12,35,37.00,20.95
Hunter Shepard,WSH,1,52.266666666667,24,17,7,0.708,8.04,-4.79,2.57,10,5,5,0.500,5.74,-3.13,6,5,1,0.833,1.15,-0.30,6,5,1,0.833,1.15,-0.79,1,4,31.71,21.29
Igor Shesterkin,NYR,61,2930.1833333333,1454,1326,128,0.912,2.62,5.62,139.29,403,331,72,0.821,1.47,3.27,380,340,40,0.895,0.82,4.29,601,585,16,0.973,0.33,5.10,138,287,34.20,19.85
Ilya Samsonov,VGK,29,1555.65,665,602,63,0.905,2.43,-1.89,64.99,176,145,31,0.824,1.20,1.87,150,132,18,0.880,0.69,-0.52,292,278,14,0.952,0.54,-3.75,48,146,36.04,21.43
Ilya Sorokin,NYI,61,3018.0833333333,1438,1318,120,0.917,2.39,12.15,131.8,364,304,60,0.835,1.19,7.98,367,326,41,0.888,0.82,1.77,648,629,19,0.971,0.38,3.75,59,280,34.66,19.66
Ivan Fedotov,PHI,26,1238.15,556,493,63,0.887,3.05,-11.90,49.59,127,100,27,0.787,1.31,-3.28,156,128,28,0.821,1.36,-9.82,238,230,8,0.966,0.39,0.36,52,103,37.29,21.57
Jacob Markstrom,NJD,49,2474.55,1029,930,99,0.904,2.40,-4.44,92.91,240,195,45,0.813,1.09,-0.17,290,252,38,0.869,0.92,-4.20,435,419,16,0.963,0.39,-0.73,112,181,38.66,22.93
Jake Allen,NJD,31,1484.15,686,629,57,0.917,2.30,6.04,68.29,175,141,34,0.806,1.37,-1.31,161,148,13,0.919,0.53,5.76,323,313,10,0.969,0.40,1.34,56,154,35.58,19.67
Jake Oettinger,DAL,58,2859.2666666667,1343,1226,117,0.913,2.46,6.42,122.94,311,240,71,0.772,1.49,-12.91,329,299,30,0.909,0.63,8.34,628,612,16,0.975,0.34,6.05,103,236,38.06,18.11
Jakub Dobes,MTL,16,751.5,359,328,31,0.914,2.48,1.99,35.25,84,68,16,0.810,1.28,-0.31,102,91,11,0.892,0.88,0.89,158,154,4,0.975,0.32,1.55,27,88,36.69,21.94
Jakub Skarek,NYI,2,67.55,33,29,4,0.879,3.55,-0.97,3.12,10,6,4,0.600,3.55,-2.13,8,8,0,1.000,0.00,0.93,15,15,0,1.000,0.00,0.53,1,10,31.48,11.50
James Reimer,"ANA, BUF",24,1158.75,554,501,53,0.904,2.74,-2.09,57.31,143,110,33,0.769,1.71,-6.29,147,138,9,0.939,0.47,8.13,241,230,11,0.954,0.57,-2.54,57,119,34.22,19.92
Jaxson Stauber,UTA,6,260.91666666667,134,119,15,0.888,3.45,-2.69,11.99,29,23,6,0.793,1.38,-0.58,31,24,7,0.774,1.61,-3.39,69,67,2,0.971,0.46,0.42,9,22,37.37,20.87
Jeremy Swayman,BOS,58,2855.4833333333,1345,1215,130,0.903,2.73,-6.40,122.15,313,256,57,0.818,1.20,1.46,360,302,58,0.839,1.22,-16.05,610,595,15,0.975,0.32,6.42,133,244,36.04,21.04
Jesper Wallstedt,MIN,2,103.33333333333,45,40,5,0.889,2.90,-0.86,3.82,9,7,2,0.778,1.16,-0.32,12,9,3,0.750,1.74,-1.60,23,23,0,1.000,0.00,0.81,3,12,34.27,19.20
Jet Greaves,CBJ,11,586.86666666667,314,295,19,0.939,1.94,9.86,30.45,81,73,8,0.901,0.82,7.13,99,94,5,0.949,0.51,6.54,126,120,6,0.952,0.61,-1.58,22,71,33.86,24.26
Joel Blomqvist,PIT,15,652.43333333333,346,306,40,0.884,3.68,-8.20,29.95,91,77,14,0.846,1.29,3.00,92,76,16,0.826,1.47,-5.28,141,131,10,0.929,0.92,-5.05,32,58,36.48,24.70
Joel Hofer,STL,31,1468.7666666667,665,613,52,0.922,2.12,9.11,55.76,147,118,29,0.803,1.18,-1.54,165,146,19,0.885,0.78,0.23,312,308,4,0.987,0.16,6.95,71,119,36.79,17.98
Joey Daccord,SEA,57,2801.8333333333,1329,1213,116,0.913,2.48,6.13,128.37,330,266,64,0.806,1.37,-2.37,323,292,31,0.904,0.66,6.64,606,585,21,0.965,0.45,0.27,73,320,36.45,19.84
John Gibson,ANA,29,1328.3666666667,688,639,49,0.929,2.21,14.23,63.18,177,145,32,0.819,1.45,1.06,164,151,13,0.921,0.59,6.11,323,319,4,0.988,0.18,7.34,67,133,34.84,17.86
Jonas Johansson,TBL,19,969.93333333333,467,423,44,0.906,2.72,-1.08,44.89,132,113,19,0.856,1.18,5.65,114,97,17,0.851,1.05,-3.71,198,190,8,0.960,0.49,-1.05,36,96,34.81,22.64
Jonathan Quick,NYR,24,1157.6666666667,572,517,55,0.904,2.85,-2.43,51.95,156,128,28,0.821,1.45,1.14,143,123,20,0.860,1.04,-3.33,250,243,7,0.972,0.36,1.78,45,117,35.14,20.62
Joonas Korpisalo,BOS,27,1286.6333333333,566,514,52,0.908,2.42,0.01,53.31,137,111,26,0.810,1.21,-0.41,143,127,16,0.888,0.75,0.67,259,249,10,0.961,0.47,-0.91,50,120,36.40,21.31
