Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
A.J. Greer,FLA,LW,28,1996-12-14,Joliette,QC,CAN,CAN,75,208,2015,COL,2,9,39
Aaron Ekblad,FLA,D,29,1996-02-07,Windsor,ON,CAN,CAN,76,215,2014,FLA,1,1,1
Aatu Raty,VAN,C,22,2002-11-14,Oulu,,FIN,FIN,74,190,2021,NYI,2,20,52
Adam Boqvist,"FLA, NYI",D,24,2000-08-15,Falun,,SWE,SWE,72,182,2018,CHI,1,8,8
Adam Edstrom,NYR,C,24,2000-10-12,,,SWE,SWE,79,220,2019,NYR,6,6,161
Adam Fantilli,CBJ,C,20,2004-10-12,,,CAN,,74,194,2023,CBJ,1,3,3
Adam Fox,NYR,D,27,1998-02-17,Jericho,NY,USA,USA,71,182,2016,CGY,3,5,66
Adam Gaudette,OTT,RW,28,1996-10-03,Braintree,MA,USA,USA,73,194,2015,VAN,5,28,149
Adam Ginning,PHI,D,25,2000-01-13,Linkoping,,SWE,SWE,75,188,2018,PHI,2,19,50
Adam Henrique,EDM,C,35,1990-02-06,Brantford,ON,CAN,CAN,72,195,2008,N.J,3,21,82
Adam Klapka,CGY,RW,24,2000-09-14,Praha,,CZE,CZE,80,235,-,-,-,-,-
Adam Larsson,SEA,D,32,1992-11-12,Skellefteå,,SWE,SWE,75,209,2011,N.J,1,4,4
Adam Lowry,WPG,C,32,1993-03-29,St. Louis,MO,USA,USA,78,208,2011,WPG,3,6,67
Adam Pelech,NYI,D,30,1994-08-16,Toronto,ON,CAN,CAN,75,210,2012,NYI,3,4,65
Adam Wilsby,NSH,D,24,2000-08-07,Stockholm,,SWE,SWE,73,188,2020,NSH,4,8,101
Adrian Kempe,LAK,RW,28,1996-09-13,Kramfors,,SWE,SWE,74,200,2014,L.A,1,29,29
Akil Thomas,LAK,C,25,2000-01-02,Toronto,ON,CAN,CAN,72,171,2018,L.A,2,20,51
Albert Johansson,DET,D,24,2001-01-04,Karlstad,,SWE,SWE,72,168,2019,DET,2,29,60
Alec Martinez,CHI,D,37,1987-07-26,Rochester Hills,MI,USA,USA,73,210,2007,L.A,4,4,95
Aleksander Barkov,FLA,C,29,1995-09-02,Tampere,,FIN,FIN,75,215,2013,FLA,1,2,2
Alex Barre-Boulet,MTL,C,27,1997-05-21,Montmagny,QC,CAN,CAN,70,180,-,-,-,-,-
Alex DeBrincat,DET,RW,27,1997-12-18,Farmington Hills,MI,USA,USA,68,178,2016,CHI,2,9,39
Alex Iafallo,WPG,LW,31,1993-12-21,Eden,NY,USA,USA,72,200,-,-,-,-,-
Alex Killorn,ANA,LW,35,1989-09-14,Halifax,NS,CAN,CAN,73,194,2007,T.B,3,16,77
Alex Laferriere,LAK,RW,23,2001-10-28,Chatham,NJ,USA,USA,72,173,2020,L.A,3,21,83
Alex Newhook,MTL,C,24,2001-01-28,St. John's,NL,CAN,CAN,70,190,2019,COL,1,16,16
Alex Nylander,TOR,LW,27,1998-03-02,Calgary,AB,CAN,CAN,73,192,2016,BUF,1,8,8
Alex Ovechkin,WSH,LW,39,1985-09-17,Moscow,,RUS,RUS,75,238,2004,WSH,1,1,1
Alex Petrovic,DAL,D,33,1992-03-03,Edmonton,AB,CAN,CAN,76,220,2010,FLA,2,6,36
Alex Pietrangelo,VGK,D,35,1990-01-18,King City,ON,CAN,CAN,75,215,2008,STL,1,4,4
Alex Steeves,TOR,C,25,1999-12-10,Bedford,NH,USA,USA,72,196,-,-,-,-,-
Alex Tuch,BUF,RW,28,1996-05-10,Syracuse,NY,USA,USA,76,219,2014,MIN,1,18,18
Alex Turcotte,LAK,C,24,2001-02-26,Elk Grove,IL,USA,USA,71,185,2019,L.A,1,5,5
Alex Vlasic,CHI,D,23,2001-06-05,Wilmette,IL,USA,USA,78,199,2019,CHI,2,12,43
Alexander Alexeyev,WSH,D,25,1999-11-15,St. Petersburg,,RUS,RUS,76,213,2018,WSH,1,31,31
Alexander Holtz,VGK,RW,23,2002-01-23,Stockholm,,SWE,SWE,72,195,2020,N.J,1,7,7
Alexander Kerfoot,UTA,C,30,1994-08-11,Vancouver,BC,CAN,CAN,71,186,2012,N.J,5,29,150
Alexander Romanov,NYI,D,25,2000-01-06,Moscow,,RUS,RUS,73,215,2018,MTL,2,7,38
Alexander Wennberg,SJS,C,30,1994-09-22,Stockholm,,SWE,SWE,74,190,2013,CBJ,1,14,14
Alexandre Carrier,"MTL, NSH",D,28,1996-10-08,Quebec City,QC,CAN,CAN,71,174,2015,NSH,4,24,115
Alexandre Texier,STL,C,25,1999-09-13,St. Martin D'heres,,FRA,FRA,73,186,2017,CBJ,2,14,45
Alexey Toropchenko,STL,RW,25,1999-06-25,Moscow,,RUS,RUS,78,222,2017,STL,4,20,113
Alexis Lafreniere,NYR,LW,23,2001-10-11,St-Eustache,QC,CAN,CAN,73,195,2020,NYR,1,1,1
Aliaksei Protas,WSH,C,24,2001-01-06,VITEBSK,,BLR,BLR,78,225,2019,WSH,3,29,91
Anders Lee,NYI,LW,34,1990-07-03,Edina,MN,USA,USA,75,235,2009,NYI,6,1,152
Andre Burakovsky,SEA,LW,30,1995-02-09,Klagenfurt,,AUT,SWE,75,209,2013,WSH,1,23,23
Andre Lee,LAK,LW,24,2000-07-26,Karlstad,,Swe,,77,206,2019,L.A,7,2,188
Andreas Athanasiou,CHI,C,30,1994-08-06,London,ON,CAN,CAN,74,190,2012,DET,4,19,110
Andreas Englund,"LAK, NSH",D,29,1996-01-21,Stockholm,,SWE,SWE,75,189,2014,OTT,2,10,40
Andrei Kuzmenko,"CGY, LAK, PHI",LW,29,1996-02-04,YAKUTSK,,RUS,RUS,71,194,-,-,-,-,-
Andrei Svechnikov,CAR,RW,25,2000-03-26,Barnual,,RUS,RUS,74,195,2018,CAR,1,2,2
Andrew Copp,DET,C,30,1994-07-08,Ann Arbor,MI,USA,USA,73,199,2013,WPG,4,13,104
Andrew Mangiapane,WSH,LW,29,1996-04-04,Toronto,ON,CAN,CAN,70,184,2015,CGY,6,15,166
Andrew Peeke,BOS,D,27,1998-03-17,Parkland,FL,USA,USA,75,210,2016,CBJ,2,4,34
Andrew Poturalski,SJS,C,31,1994-01-14,Williamsville,NY,USA,USA,70,183,-,-,-,-,-
Angus Crookshank,OTT,LW,25,1999-10-02,North Vancouver,BC,CAN,CAN,70,181,2018,OTT,5,2,126
Anthony Beauvillier,"PIT, WSH",LW,27,1997-06-08,Sorel-Tracy,QC,CAN,CAN,71,180,2015,NYI,1,28,28
Anthony Cirelli,TBL,C,27,1997-07-15,Etobicoke,ON,CAN,CAN,72,189,2015,T.B,3,11,72
Anthony Duclair,NYI,LW,29,1995-08-26,Pointe-Claire,QC,CAN,CAN,71,197,2013,NYR,3,19,80
Anthony Mantha,CGY,RW,30,1994-09-16,Longueuil,QC,CAN,CAN,77,234,2013,DET,1,20,20
Anthony Richard,PHI,C,28,1996-12-20,Trois-Rivieres,QC,CAN,CAN,71,183,2015,NSH,4,9,100
Anton Lundell,FLA,C,23,2001-10-03,Espoo,,FIN,FIN,73,185,2020,FLA,1,12,12
Anze Kopitar,LAK,C,37,1987-08-24,Jesenice,,SVN,SVN,75,225,2005,L.A,1,11,11
Arber Xhekaj,MTL,D,24,2001-01-30,Hamilton,ON,CAN,CAN,76,238,-,-,-,-,-
Arshdeep Bains,VAN,LW,24,2001-01-09,Surrey,BC,CAN,CAN,72,184,-,-,-,-,-
Artem Zub,OTT,D,29,1995-10-03,Khabarovsk,,RUS,RUS,74,200,-,-,-,-,-
Artemi Panarin,NYR,LW,33,1991-10-30,Korkino,,RUS,RUS,72,173,-,-,-,-,-
Arthur Kaliyev,NYR,RW,23,2001-06-26,New York City,,USA,USA,74,210,2019,L.A,2,2,33
Arttu Hyry,DAL,RW,24,2001-04-06,,,FIN,,74,209,-,-,-,-,-
Artturi Lehkonen,COL,LW,29,1995-07-04,Piikkio,,FIN,FIN,71,179,2013,MTL,2,25,55
Artyom Levshunov,CHI,D,19,2005-10-28,,,BLR,,74,208,2024,CHI,1,2,2
Austin Watson,DET,LW,33,1992-01-13,Ann Arbor,MI,USA,USA,76,204,2010,NSH,1,18,18
Auston Matthews,TOR,C,27,1997-09-17,San Ramon,CA,USA,USA,75,208,2016,TOR,1,1,1
Aydar Suniev,CGY,LW,20,2004-11-16,,,RUS,,74,198,2023,CGY,3,16,80
Barclay Goodrow,SJS,C,32,1993-02-26,Toronto,ON,CAN,CAN,74,204,-,-,-,-,-
Barrett Hayton,UTA,C,24,2000-06-09,Peterborough,ON,CAN,CAN,73,207,2018,ARI,1,5,5
Beck Malenstyn,BUF,LW,27,1998-02-04,Delta,BC,CAN,CAN,75,200,2016,WSH,5,24,145
Ben Chiarot,DET,D,33,1991-05-09,Hamilton,ON,CAN,CAN,75,232,2009,ATL,4,29,120
Ben Hutton,VGK,D,31,1993-04-20,Brockville,ON,CAN,CAN,75,201,2012,VAN,5,26,147
Ben Jones,MIN,C,26,1999-02-26,Waterloo,ON,CAN,CAN,72,187,2017,VGK,7,3,189
Ben Meyers,SEA,C,26,1998-11-15,DELANO,MN,USA,USA,71,194,-,-,-,-,-
Blake Coleman,CGY,"C, LW",33,1991-11-28,Plano,TX,USA,USA,71,199,2011,N.J,3,14,75
Blake Lizotte,PIT,C,27,1997-12-13,Lindstrom,MN,USA,USA,69,170,-,-,-,-,-
Bo Horvat,NYI,C,30,1995-04-05,London,ON,CAN,CAN,72,215,2013,VAN,1,9,9
Bobby Brink,PHI,RW,23,2001-07-08,Minnetonka,MN,USA,USA,68,166,2019,PHI,2,3,34
Bobby McMann,TOR,C,28,1996-06-15,"Wainwright, AB",AB,CAN,CAN,74,208,-,-,-,-,-
Bokondji Imama,PIT,LW,28,1996-08-03,Montreal,QC,CAN,CAN,73,221,2015,T.B,6,29,180
Boone Jenner,CBJ,C,31,1993-06-15,Dorchester,ON,CAN,CAN,74,203,2011,CBJ,2,7,37
Bowen Byram,BUF,D,23,2001-06-13,Cranbrook,BC,CAN,CAN,73,190,2019,COL,1,4,4
Brad Lambert,WPG,C,21,2003-12-19,,,FIN,,73,173,2022,WPG,1,30,30
Brad Marchand,"BOS, FLA",LW,36,1988-05-11,Halifax,NS,CAN,CAN,69,176,2006,BOS,3,8,71
Braden Schneider,NYR,D,23,2001-09-20,Prince Albert,SK,CAN,CAN,75,208,2020,NYR,1,19,19
Bradly Nadeau,CAR,LW,19,2005-05-05,,,CAN,,70,161,2023,CAR,1,30,30
Brady Skjei,NSH,D,31,1994-03-26,Lakeville,MN,USA,USA,75,210,2012,NYR,1,28,28
Brady Tkachuk,OTT,LW,25,1999-09-16,Scottsdale,AZ,USA,USA,76,221,2018,OTT,1,4,4
Brandon Carlo,"BOS, TOR",D,28,1996-11-26,Colorado Springs,CO,USA,USA,78,218,2015,BOS,2,7,37
Brandon Duhaime,WSH,RW,27,1997-05-22,Coral Springs,FL,USA,USA,74,200,2016,MIN,4,15,106
Brandon Hagel,TBL,LW,26,1998-08-27,Saskatoon,SK,CAN,CAN,74,179,2016,BUF,6,8,159
Brandon Montour,SEA,D,31,1994-04-11,Brantford,ON,CAN,CAN,72,194,2014,ANA,2,25,55
Brandon Saad,"STL, VGK",LW,32,1992-10-27,Pittsburgh,PA,USA,USA,73,215,2011,CHI,2,13,43
Brandon Tanev,"SEA, WPG",LW,33,1991-12-31,Toronto,ON,CAN,CAN,72,189,-,-,-,-,-
Brandt Clarke,LAK,D,22,2003-02-09,Nepean,ON,CAN,CAN,74,185,2021,L.A,1,8,8
Brayden McNabb,VGK,D,34,1991-01-21,Davidson,SK,CAN,CAN,76,215,2009,BUF,3,5,66
Brayden Pachal,CGY,D,25,1999-08-23,Estevan,SK,CAN,CAN,74,203,-,-,-,-,-
Brayden Point,TBL,C,29,1996-03-13,Calgary,AB,CAN,CAN,71,180,2014,T.B,3,19,79
Brayden Schenn,STL,C,33,1991-08-22,Saskatoon,SK,CAN,CAN,73,199,2009,L.A,1,5,5
Brendan Brisson,VGK,C,23,2001-10-22,,,USA,,72,191,2020,VGK,1,29,29
Brendan Gallagher,MTL,RW,32,1992-05-06,Edmonton,AB,CAN,CAN,69,186,2010,MTL,5,27,147
Brendan Gaunce,MIN,C,31,1994-03-25,Sudbury,ON,CAN,CAN,75,219,2012,VAN,1,26,26
Brendan Smith,DAL,D,36,1989-02-08,Mimico,ON,CAN,CAN,74,200,2007,DET,1,27,27
Brenden Dillon,NJD,D,34,1990-11-13,New Westminster,BC,CAN,CAN,76,224,-,-,-,-,-
Brennan Othmann,NYR,LW,22,2003-01-05,Scarborough,ON,CAN,CAN,72,188,2021,NYR,1,16,16
Brent Burns,CAR,D,40,1985-03-09,Barrie,ON,CAN,CAN,77,230,2003,MIN,1,20,20
Brett Berard,NYR,LW,22,2002-09-09,,,USA,,69,174,2020,NYR,5,10,134
Brett Howden,VGK,C,27,1998-03-29,Calgary,AB,CAN,CAN,74,203,2016,T.B,1,27,27
Brett Kulak,EDM,D,31,1994-01-06,Edmonton,AB,CAN,CAN,73,197,2012,CGY,4,14,105
Brett Leason,ANA,RW,25,1999-04-30,Calgary,AB,CAN,CAN,77,218,2019,WSH,2,25,56
Brett Murray,BUF,LW,26,1998-07-20,Bolton,ON,CAN,CAN,77,228,2016,BUF,4,8,99
Brett Pesce,NJD,D,30,1994-11-15,Tarrytown,NY,USA,USA,75,206,2013,CAR,3,5,66
Brian Dumoulin,"ANA, NJD",D,33,1991-09-06,Biddeford,ME,USA,USA,76,207,2009,CAR,2,21,51
Brian Halonen,NJD,LW,26,1999-01-11,,,USA,,72,207,-,-,-,-,-
Brock Boeser,VAN,RW,28,1997-02-25,Burnsville,MN,USA,USA,73,208,2015,VAN,1,23,23
Brock Faber,MIN,D,22,2002-08-22,Maple Grove,MN,USA,USA,73,200,2020,L.A,2,14,45
Brock McGinn,ANA,LW,31,1994-02-02,Fergus,ON,CAN,CAN,72,187,2012,CAR,2,17,47
Brock Nelson,"COL, NYI",C,33,1991-10-15,Warroad,MN,USA,USA,76,210,2010,NYI,1,30,30
Bryan Rust,PIT,RW,32,1992-05-11,Pontiac,MI,USA,USA,71,192,2010,PIT,3,20,80
Cale Fleury,SEA,D,26,1998-11-19,Carlyle,SK,CAN,CAN,73,204,2017,MTL,3,25,87
Cale Makar,COL,D,26,1998-10-30,Calgary,AB,CAN,CAN,71,187,2017,COL,1,4,4
Caleb Jones,LAK,D,27,1997-06-06,Arlington,TX,USA,USA,73,194,2015,EDM,4,26,117
Callahan Burke,VGK,C,28,1997-03-19,Boxborough,MA,USA,USA,70,183,-,-,-,-,-
Calle Jarnkrok,TOR,C,33,1991-09-25,Gavle,,SWE,SWE,72,192,2010,DET,2,21,51
Calum Ritchie,COL,C,20,2005-01-21,,,CAN,,74,185,2023,COL,1,27,27
Calvin de Haan,"COL, NYR",D,33,1991-05-09,Carp,ON,CAN,CAN,73,195,2009,NYI,1,12,12
Cam Atkinson,TBL,RW,35,1989-06-05,Riverside,CT,USA,USA,68,176,2008,CBJ,6,6,157
Cam Dineen,EDM,D,26,1998-06-19,Toms River,NJ,USA,USA,71,188,2016,ARI,3,7,68
Cam Fowler,"ANA, STL",D,33,1991-12-05,Windsor,ON,CAN,USA,74,215,2010,ANA,1,12,12
Cam Lund,SJS,C,20,2004-06-07,,,USA,,74,195,2022,S.J,2,2,34
Cam York,PHI,D,24,2001-01-05,Anaheim,CA,USA,USA,71,175,2019,PHI,1,14,14
Cameron Crotty,MIN,D,25,1999-05-05,Ottawa,ON,CAN,CAN,75,188,2017,ARI,3,20,82
Carl Grundstrom,SJS,RW,27,1997-12-01,Umea,,SWE,SWE,72,195,2016,TOR,2,27,57
Carson Soucy,"NYR, VAN",D,30,1994-07-27,Viking,AB,CAN,CAN,77,208,2013,MIN,5,16,137
Carter Mazur,DET,LW,23,2002-03-28,,,USA,,72,170,2021,DET,3,6,70
Carter Verhaeghe,FLA,C,29,1995-08-14,Toronto,ON,CAN,CAN,74,180,2013,TOR,3,21,82
Casey Cizikas,NYI,C,34,1991-02-27,Toronto,ON,CAN,CAN,71,190,2009,NYI,4,1,92
Casey Mittelstadt,"BOS, COL",C,26,1998-11-22,Edina,MN,USA,USA,73,195,2017,BUF,1,8,8
Chad Ruhwedel,NYR,D,34,1990-05-07,San Diego,CA,USA,USA,71,191,-,-,-,-,-
Chandler Stephenson,SEA,C,30,1994-04-22,Saskatoon,SK,CAN,CAN,72,209,2012,WSH,3,16,77
Charlie Coyle,"BOS, COL",C,33,1992-03-02,E. Weymouth,MA,USA,USA,75,223,2010,S.J,1,28,28
Charlie McAvoy,BOS,D,27,1997-12-21,Long Beach,NY,USA,USA,73,209,2016,BOS,1,14,14
Chase Bradley,COL,LW,23,2002-01-09,,,USA,,71,180,2020,DET,7,17,203
Chris Kreider,NYR,LW,33,1991-04-30,Boxford,MA,USA,USA,75,230,2009,NYR,1,19,19
Chris Tanev,TOR,D,35,1989-12-20,Toronto,ON,CAN,CAN,74,193,-,-,-,-,-
Chris Wagner,COL,RW,33,1991-05-27,Walpole,MA,USA,USA,72,192,2010,ANA,5,2,122
Christian Dvorak,MTL,C,29,1996-02-02,Palos,IL,USA,USA,73,193,2014,ARI,2,28,58
Christian Fischer,"CBJ, DET",RW,28,1997-04-15,Chicago,IL,USA,USA,74,212,2015,ARI,2,2,32
Clark Bishop,CGY,C,29,1996-03-29,St. John's,NL,CAN,CAN,73,197,2014,CAR,5,7,127
Claude Giroux,OTT,RW,37,1988-01-12,Hearst,ON,CAN,CAN,71,190,2006,PHI,1,22,22
