Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %
A.J. Greer,NJD,LW,1,8.55,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,7,2,1,1,0,1,0,0,0,1,0,0,0,-,4,16,20.00,4,14,22.22,1,12,7.69,0,0,-,0.2,1.28,13.58,4,10,28.57,1,5,16.67,0,0,-,3,5,37.50,0,0,-,0,6,0.00,0,0,-,0.00,100.00,1.000,0,2,1,9,0.00,1,2,2,33.33
Aaron Ekblad,FLA,D,35,878.18333333333,11,11,5,6,22,40.00,101,10.89,6.43,193,144,63,11,4,9,33,15,14,1,0,8,22,11,24,46,27,0,0,-,867,691,55.65,689,551,55.56,528,400,56.90,55,38,59.14,50.41,36.7,57.87,396,339,53.88,161,128,55.71,30,22,57.69,235,211,52.69,12,7,63.16,428,305,58.39,11,7,61.11,10.42,90.50,1.009,181,195,183,457,49.73,371,262,318,53.85
Aaron Ness,ARI,D,1,12.833333333333,0,0,0,0,0,-,1,0.00,0.11,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-,14,12,53.85,13,10,56.52,9,8,52.94,0,0,-,1.38,0.55,71.67,10,7,58.82,5,2,71.43,0,0,-,5,5,50.00,0,0,-,4,5,44.44,0,0,-,0.00,100.00,1.000,2,3,3,10,40.00,4,4,6,40.00
Adam Boqvist,CHI,D,34,576.98333333333,2,14,2,12,16,50.00,39,5.13,2.75,83,52,41,9,1,5,12,6,6,0,0,11,21,7,29,46,28,0,0,-,539,444,54.83,398,342,53.78,304,262,53.71,32,27,54.24,26.7,24.31,52.34,300,235,56.07,101,97,51.01,15,14,51.72,199,138,59.05,14,7,66.67,212,175,54.78,3,4,42.86,10.53,89.69,1.002,132,101,36,396,78.57,282,158,101,73.63
Adam Brooks,TOR,C,11,117.43333333333,4,1,0,1,5,62.50,10,40.00,1.09,14,10,11,5,0,2,0,0,0,0,0,1,4,4,14,20,2,7,10,41.18,83,81,50.61,59,61,49.17,49,39,55.68,8,3,72.73,3.52,3.27,51.86,45,37,54.88,14,9,60.87,4,1,80.00,31,28,52.54,2,0,100.00,32,40,44.44,2,2,50.00,16.33,92.31,1.086,17,15,13,125,56.67,28,21,25,52.83
Adam Erne,DET,LW,45,626.45,11,9,3,6,20,71.43,71,15.49,7.58,105,91,68,41,4,10,26,10,8,2,0,4,6,10,82,27,16,20,14,58.82,537,548,49.49,406,418,49.27,312,306,50.49,28,22,56.00,25.62,24.9,50.71,258,260,49.81,100,109,47.85,10,12,45.45,158,151,51.13,11,7,61.11,242,244,49.79,7,3,70.00,8.97,92.81,1.018,119,138,105,439,53.13,192,185,213,47.41
Adam Fox,NYR,D,55,1358.85,5,42,19,23,47,52.22,102,4.90,6.04,181,139,61,11,2,8,14,7,7,0,0,5,36,38,23,65,102,0,1,0.00,1328,1164,53.29,1027,871,54.11,731,610,54.51,90,53,62.94,78.74,54.62,59.05,677,529,56.14,280,198,58.58,42,26,61.76,397,331,54.53,25,16,60.98,558,553,50.23,17,9,65.38,12.31,91.31,1.036,232,273,249,800,48.23,508,381,480,51.42
Adam Gaudette,"CHI, VAN",C,40,444.85,5,6,3,3,11,73.33,66,7.58,7.47,109,91,81,33,1,5,12,6,6,0,0,7,6,9,16,36,22,53,71,42.74,426,444,48.97,313,328,48.83,234,244,48.95,15,26,36.59,18.1,21.26,45.98,185,209,46.95,70,91,43.48,7,17,29.17,115,118,49.36,5,6,45.45,214,200,51.69,3,2,60.00,6.41,89.34,0.958,110,90,45,440,70.97,155,114,106,59.39
Adam Henrique,ANA,C,45,721.8,12,9,6,3,21,63.64,77,15.58,8.7,129,102,80,39,2,9,11,4,3,1,0,7,20,11,40,30,32,303,244,55.39,700,640,52.24,509,504,50.25,362,375,49.12,33,43,43.42,31.85,34.03,48.35,336,308,52.17,127,131,49.22,18,24,42.86,209,177,54.15,11,12,47.83,308,291,51.42,4,4,50.00,9.12,88.53,0.976,202,136,126,517,61.59,292,190,223,56.70
Adam Larsson,EDM,D,56,1100.25,4,6,2,4,10,29.41,52,7.69,3.02,130,92,31,4,5,5,24,12,12,0,0,4,42,12,166,88,128,1,0,100.00,751,1102,40.53,564,755,42.76,386,547,41.37,34,44,43.59,34.48,46.54,42.56,349,534,39.52,138,188,42.33,15,21,41.67,211,346,37.88,11,19,36.67,329,490,40.17,4,4,50.00,8.81,91.96,1.008,68,216,235,763,22.44,181,320,432,29.53
Adam Lowry,WPG,C,52,808.46666666667,10,14,7,7,24,72.73,81,12.35,8.78,138,109,91,37,0,6,13,5,4,1,0,11,13,16,161,82,30,361,354,50.49,626,831,42.96,471,631,42.74,330,455,42.04,33,39,45.83,28.38,43.77,39.34,286,397,41.87,102,177,36.56,20,18,52.63,184,220,45.54,11,12,47.83,277,381,42.10,1,7,12.50,10.00,91.43,1.014,112,175,229,602,32.84,182,240,371,32.91
Adam Pelech,NYI,D,56,1178.35,4,10,5,5,14,27.45,82,4.88,4.07,180,123,47,10,1,9,18,9,9,0,0,6,46,25,66,92,73,0,0,-,966,1097,46.83,734,814,47.42,546,587,48.19,51,53,49.04,48.86,50.22,49.31,515,507,50.39,221,178,55.39,33,28,54.10,294,329,47.19,7,14,33.33,387,524,42.48,10,11,47.62,9.34,90.97,1.003,85,234,247,877,25.60,256,362,469,35.31
Adam Ruzicka,CGY,C,3,32.25,0,1,0,1,1,50.00,3,0.00,0.57,8,5,5,3,1,1,4,2,2,0,0,0,1,0,1,1,0,14,15,48.28,33,26,55.93,22,19,53.66,15,14,51.72,2,0,100.00,1.86,1.09,63.08,17,16,51.52,9,5,64.29,2,0,100.00,8,11,42.11,0,0,-,14,7,66.67,0,0,-,13.33,100.00,1.133,5,9,5,29,50.00,10,11,9,52.63
Adrian Kempe,LAK,C,56,948.21666666667,14,15,13,2,29,58.00,127,11.02,11.31,238,174,117,39,7,19,28,13,13,0,0,8,20,15,47,54,21,27,41,39.71,909,802,53.13,673,623,51.93,479,455,51.28,50,47,51.55,50.39,42.64,54.17,420,409,50.66,176,162,52.07,24,24,50.00,244,247,49.69,13,16,44.83,426,324,56.80,11,5,68.75,10.44,89.67,1.001,232,191,145,682,61.54,397,270,262,60.24
Alec Martinez,VGK,D,53,1195.9833333333,9,23,9,14,32,42.67,85,10.59,6.09,183,122,54,15,1,13,12,6,6,0,0,1,26,12,44,107,168,0,0,-,1160,1190,49.36,853,826,50.80,625,603,50.90,75,49,60.48,61.55,56.78,52.01,577,593,49.32,235,216,52.11,39,28,58.21,342,377,47.57,23,15,60.53,497,516,49.06,11,6,64.71,12.00,91.87,1.039,153,215,164,821,48.26,348,338,401,46.46
Alec Regula,CHI,D,3,37.133333333333,0,0,0,0,0,-,1,0.00,0.04,4,1,1,0,0,0,0,0,0,0,0,0,2,2,3,2,3,0,0,-,19,53,26.39,11,43,20.37,8,33,19.51,0,1,0.00,0.49,3.69,11.61,8,29,21.62,1,17,5.56,0,1,0.00,7,12,36.84,0,0,-,10,19,34.48,0,0,-,0.00,96.97,0.970,4,4,4,31,50.00,9,8,12,42.86
Aleksander Barkov,FLA,C,50,1046.8666666667,26,32,25,7,58,74.36,176,14.77,19.31,261,221,172,72,5,13,14,7,7,0,0,16,23,39,31,81,37,563,463,54.87,1207,745,61.83,947,598,61.29,726,438,62.37,78,52,60.00,69.3,42.66,61.89,589,360,62.07,241,140,63.25,44,30,59.46,348,220,61.27,19,15,55.88,563,331,62.98,13,6,68.42,10.74,88.13,0.989,228,247,153,573,59.84,481,342,308,60.96
Aleksi Heponiemi,FLA,C,9,110.13333333333,1,1,0,1,2,40.00,15,6.67,2.74,21,19,18,9,0,2,2,1,1,0,0,2,3,6,0,6,1,0,0,-,108,109,49.77,90,84,51.72,60,64,48.39,5,5,50.00,5.61,4.72,54.33,51,38,57.30,17,19,47.22,2,2,50.00,34,19,64.15,2,0,100.00,47,64,42.34,1,3,25.00,8.33,92.19,1.005,13,18,21,97,38.24,22,27,42,34.38
Alex Barre-Boulet,TBL,C,15,228.78333333333,3,0,0,0,3,27.27,26,11.54,3.11,47,37,32,8,0,3,0,0,0,0,0,0,4,4,8,10,5,1,3,25.00,232,132,63.74,174,101,63.27,117,76,60.62,11,7,61.11,11.44,5.39,67.98,120,59,67.04,39,23,62.90,8,6,57.14,81,36,69.23,3,1,75.00,102,66,60.71,0,0,-,9.40,90.79,1.002,74,29,27,154,73.27,122,42,44,73.49
Alex Belzile,MTL,RW,2,21.283333333333,0,1,1,0,1,100.00,3,0.00,0.22,6,5,3,1,0,0,0,0,0,0,0,0,1,1,2,4,0,4,1,80.00,23,17,57.50,17,14,54.84,9,9,50.00,1,2,33.33,0.8,0.86,48.19,10,9,52.63,3,3,50.00,0,1,0.00,7,6,53.85,0,1,0.00,12,7,63.16,1,0,100.00,11.11,77.78,0.889,3,4,1,19,75.00,7,5,3,70.00
Alex Biega,DET,D,13,138.6,0,3,2,1,3,60.00,4,0.00,0.15,18,9,4,0,0,1,4,2,2,0,0,2,4,0,22,10,11,0,0,-,103,160,39.16,72,121,37.31,54,91,37.24,5,8,38.46,4.17,7.61,35.41,49,76,39.20,20,34,37.04,5,4,55.56,29,42,40.85,0,3,0.00,45,71,38.79,0,1,0.00,9.26,91.21,1.005,10,20,20,136,33.33,35,36,51,40.70
Alex Chiasson,EDM,RW,45,561.78333333333,9,7,3,4,16,41.03,65,13.85,9.01,99,85,73,44,1,8,33,8,4,3,1,3,10,13,40,51,7,2,3,40.00,618,442,58.30,460,319,59.05,343,241,58.73,39,22,63.93,34.54,16.68,67.43,317,206,60.61,121,69,63.68,19,11,63.33,196,137,58.86,13,10,56.52,271,203,57.17,6,1,85.71,11.37,90.87,1.022,146,73,48,414,75.26,247,123,121,67.12
Alex DeBrincat,CHI,LW,51,1045.8333333333,32,24,14,10,56,72.73,153,20.92,17.04,262,196,169,60,6,12,12,6,6,0,0,15,43,31,68,87,21,16,24,40.00,1003,903,52.62,743,695,51.67,584,533,52.28,77,54,58.78,54.56,51.37,51.51,540,485,52.68,192,200,48.98,38,29,56.72,348,285,54.98,30,15,66.67,417,353,54.16,8,7,53.33,13.18,89.87,1.031,209,173,86,623,70.85,441,276,233,65.43
Alex Formenton,OTT,LW,20,239.88333333333,4,2,1,1,6,50.00,27,14.81,2.41,39,33,26,13,4,1,6,3,3,0,0,5,6,11,23,14,8,1,4,20.00,162,261,38.30,124,191,39.37,88,147,37.45,12,9,57.14,8.68,11.96,42.06,81,117,40.91,30,53,36.14,7,2,77.78,51,64,44.35,1,1,50.00,67,124,35.08,3,6,33.33,13.64,93.88,1.075,29,33,51,246,36.25,46,51,83,35.66
Alex Galchenyuk,"OTT, TOR","C, LW",34,432.01666666667,5,8,5,3,13,61.90,62,8.06,6.85,100,87,66,33,2,6,20,10,10,0,0,5,16,6,44,53,10,3,3,50.00,424,387,52.28,331,295,52.88,252,207,54.90,21,27,43.75,23.76,16.63,58.83,252,199,55.88,106,62,63.10,15,11,57.69,146,137,51.59,4,8,33.33,153,169,47.52,2,7,22.22,8.33,86.96,0.953,81,108,53,358,60.45,148,146,119,55.43
Alex Goligoski,ARI,D,56,1288.3666666667,3,19,7,12,22,35.48,72,4.17,3.46,157,94,42,10,2,10,14,7,7,0,0,8,33,14,76,80,108,0,0,-,1051,1322,44.29,777,981,44.20,551,705,43.87,62,74,45.59,51.52,68.45,42.95,472,662,41.62,200,258,43.67,30,35,46.15,272,404,40.24,20,23,46.51,495,579,46.09,11,13,45.83,11.25,89.50,1.008,196,225,247,805,44.24,404,362,532,43.16
Alex Iafallo,LAK,LW,55,1093.8,13,17,10,7,30,50.00,119,10.92,14.47,191,159,126,74,3,15,4,2,2,0,0,6,9,15,26,57,39,2,5,28.57,1063,939,53.10,791,717,52.45,567,517,52.31,60,58,50.85,53.97,53.34,50.29,463,460,50.16,197,185,51.57,31,27,53.45,266,275,49.17,15,20,42.86,517,404,56.13,9,8,52.94,10.58,88.78,0.994,232,217,226,661,50.66,412,292,363,53.16
Alex Killorn,TBL,LW,56,1001.6,15,18,11,7,33,53.23,121,12.40,13.06,204,165,109,48,2,7,37,17,16,1,0,14,10,14,59,50,12,1,2,33.33,981,736,57.13,755,579,56.60,555,447,55.39,62,46,57.41,49.89,38.25,56.60,473,383,55.26,168,151,52.66,32,24,57.14,305,232,56.80,17,12,58.62,447,311,58.97,13,6,68.42,11.17,89.71,1.009,261,170,143,642,64.60,419,243,251,62.54
Alex Newhook,COL,C,6,82.066666666667,0,3,1,2,3,50.00,8,0.00,0.97,21,16,11,5,1,0,2,1,1,0,0,1,0,2,3,7,1,16,21,43.24,87,58,60.00,67,40,62.62,43,26,62.32,6,1,85.71,4.16,2.14,66.04,47,29,61.84,16,8,66.67,3,0,100.00,31,21,59.62,3,1,75.00,33,26,55.93,0,0,-,13.95,96.15,1.101,17,13,5,74,77.27,32,26,16,66.67
Alex Ovechkin,WSH,LW,45,877.58333333333,24,18,11,7,42,60.87,182,13.19,17.33,351,265,144,52,10,16,12,6,6,0,0,13,20,11,98,27,23,0,2,0.00,940,727,56.39,717,572,55.62,510,403,55.86,69,47,59.48,47.83,37.3,56.19,420,323,56.53,148,133,52.67,32,22,59.26,272,190,58.87,19,11,63.33,453,330,57.85,17,10,62.96,13.53,88.34,1.019,227,180,29,495,88.67,428,262,116,78.68
Alex Pietrangelo,VGK,D,41,1001.7333333333,7,16,7,9,23,37.70,126,5.56,6.38,278,183,84,12,5,15,16,8,8,0,0,8,22,23,28,87,80,0,0,-,1084,944,53.45,787,682,53.57,566,485,53.85,61,37,62.24,56.41,45.34,55.44,533,462,53.57,221,171,56.38,34,17,66.67,312,291,51.74,16,11,59.26,453,401,53.04,8,8,50.00,10.78,92.37,1.031,151,176,147,620,50.67,360,283,298,54.71
Alex Tuch,VGK,RW,55,925.45,18,15,11,4,33,62.26,142,12.68,16.8,242,200,150,62,7,7,28,14,14,0,0,16,18,39,52,76,36,12,20,37.50,985,716,57.91,723,512,58.54,517,377,57.83,53,32,62.35,51.41,33.29,60.70,504,333,60.22,188,142,56.97,24,19,55.81,316,191,62.33,17,5,77.27,417,314,57.05,11,8,57.89,10.25,91.51,1.018,176,168,78,746,69.29,325,245,206,61.21
Alex Wennberg,FLA,C,56,1017.35,17,12,7,5,29,50.88,82,20.73,8.89,133,105,79,38,6,8,8,4,4,0,0,12,22,30,29,75,36,388,400,49.24,890,892,49.94,691,700,49.68,535,541,49.72,57,56,50.44,44.4,49.93,47.07,406,419,49.21,151,181,45.48,27,32,45.76,255,238,51.72,17,11,60.71,416,401,50.92,10,10,50.00,10.65,89.65,1.003,180,199,179,730,50.14,343,307,341,50.15
Alexander Barabanov,"SJS, TOR",LW,22,270.85,3,5,2,3,8,47.06,23,13.04,2.7,42,30,29,14,1,5,6,3,3,0,0,3,9,9,7,25,14,0,0,-,250,240,51.02,192,178,51.89,149,125,54.38,17,14,54.84,14.76,12.06,55.04,133,116,53.41,65,45,59.09,11,6,64.71,68,71,48.92,3,6,33.33,110,109,50.23,3,1,75.00,11.41,88.80,1.002,44,41,31,212,58.67,73,68,70,51.05
Alexander Chmelevski,SJS,C,5,48.766666666667,0,2,1,1,2,66.67,8,0.00,0.69,10,9,7,4,0,0,2,1,1,0,0,1,0,2,7,2,1,4,8,33.33,40,44,47.62,36,34,51.43,29,29,50.00,3,5,37.50,2.18,2.37,47.84,21,21,50.00,12,10,54.55,1,3,25.00,9,11,45.00,1,0,100.00,19,21,47.50,1,2,33.33,10.34,82.76,0.931,10,11,9,36,52.63,15,14,19,44.12
