Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %
A.J. Greer,CGY,LW,59,499.6,5,6,3,3,11,73.33,56,8.93,6.18,110,78,60,33,7,11,35,13,10,3,0,11,16,17,99,45,23,4,3,57.14,467,508,47.90,323,341,48.64,213,246,46.41,15,22,40.54,19.98,20.43,49.45,198,221,47.26,80,85,48.48,7,11,38.89,118,136,46.46,2,5,28.57,268,293,47.77,6,6,50.00,7.04,91.06,0.981,47,93,49,483,48.96,81,119,117,40.91
Aaron Ekblad,FLA,D,51,832.3,3,11,5,6,14,31.11,74,4.05,3.42,183,114,51,7,1,19,44,18,17,0,1,3,16,12,65,48,47,0,0,-,1008,749,57.37,685,558,55.11,459,377,54.90,45,20,69.23,49.51,33.13,59.91,455,322,58.56,188,139,57.49,20,10,66.67,267,183,59.33,9,6,60.00,591,467,55.86,9,4,69.23,9.80,94.69,1.045,101,175,129,631,43.91,262,255,276,48.70
Adam Beckman,MIN,LW,11,103.38333333333,0,2,1,1,2,100.00,10,0.00,0.99,23,17,13,3,3,0,12,2,1,0,1,2,0,2,13,8,3,0,0,-,72,117,38.10,56,81,40.88,35,52,40.23,2,4,33.33,3.47,4.92,41.37,28,58,32.56,6,27,18.18,1,3,25.00,22,31,41.51,1,1,50.00,39,66,37.14,0,0,-,5.71,92.31,0.980,9,26,14,78,39.13,16,30,28,36.36
Adam Boqvist,CBJ,D,35,564.95,1,5,1,4,6,22.22,34,2.94,2.14,89,57,30,8,1,6,0,0,0,0,0,4,13,7,11,36,40,0,0,-,627,639,49.53,447,477,48.38,307,341,47.38,27,34,44.26,27.96,34.76,44.58,281,291,49.13,115,130,46.94,17,17,50.00,166,161,50.76,8,8,50.00,384,389,49.68,2,8,20.00,8.79,90.03,0.988,92,109,71,381,56.44,225,184,156,59.06
Adam Edstrom,NYR,C,11,92.383333333333,2,0,0,0,2,66.67,7,28.57,0.88,10,8,8,2,1,0,2,1,1,0,0,3,4,1,30,11,2,0,0,-,66,110,37.50,35,81,30.17,24,57,29.63,3,1,75.00,2.41,5.06,32.27,32,44,42.11,9,19,32.14,0,0,-,23,25,47.92,2,0,100.00,35,70,33.33,1,1,50.00,12.50,98.25,1.107,17,29,22,73,43.59,22,32,44,33.33
Adam Erne,EDM,LW,24,181.18333333333,1,1,1,0,2,33.33,13,7.69,0.98,26,16,15,6,0,1,7,2,1,1,0,2,4,4,68,20,5,4,5,44.44,146,163,47.25,96,117,45.07,67,80,45.58,6,6,50.00,6.29,6.43,49.45,77,71,52.03,32,29,52.46,4,4,50.00,45,42,51.72,0,1,0.00,76,102,42.70,2,1,66.67,8.96,92.50,1.015,30,50,21,157,58.82,40,62,50,44.44
Adam Fantilli,CBJ,C,49,656.65,11,13,9,4,24,77.42,92,11.96,9.14,198,135,93,27,5,27,14,7,7,0,0,12,14,17,61,54,25,155,203,43.30,632,696,47.59,432,509,45.91,303,365,45.36,31,50,38.27,26.88,33.72,44.35,279,328,45.96,98,132,42.61,11,24,31.43,181,196,48.01,12,17,41.38,385,377,50.52,7,8,46.67,10.23,86.30,0.965,132,118,55,486,70.59,246,169,146,62.76
Adam Fox,NYR,D,72,1318,10,28,15,13,38,55.88,93,10.75,7.09,215,139,75,17,5,13,28,14,14,0,0,16,26,37,42,84,99,0,0,-,1435,1198,54.50,1046,856,54.99,699,583,54.52,68,46,59.65,67.44,61.16,52.44,677,572,54.20,267,229,53.83,23,19,54.76,410,343,54.45,20,19,51.28,897,683,56.77,21,5,80.77,9.73,92.11,1.018,229,227,182,872,55.72,534,376,371,59.01
Adam Gaudette,STL,C,2,19.6,0,0,0,0,0,0.00,0,-,0.06,1,1,1,0,0,1,4,2,2,0,0,0,0,1,4,0,1,0,0,-,17,11,60.71,10,7,58.82,6,6,50.00,1,1,50.00,0.77,0.31,71.24,8,5,61.54,4,2,66.67,1,0,100.00,4,3,57.14,0,0,-,8,5,61.54,0,1,0.00,16.67,83.33,1.000,2,3,2,22,50.00,5,4,3,62.50
Adam Ginning,PHI,D,9,119.33333333333,1,0,0,0,1,25.00,6,16.67,0.13,15,8,2,0,0,1,0,0,0,0,0,0,5,2,17,9,9,0,0,-,128,102,55.65,90,69,56.60,59,49,54.63,4,4,50.00,5.83,5.57,51.13,55,49,52.88,28,25,52.83,1,1,50.00,27,24,52.94,1,1,50.00,75,50,60.00,2,2,50.00,6.78,91.84,0.986,12,20,9,119,57.14,28,31,15,65.12
