Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %
A.J. Greer,FLA,LW,81,40.5,1,0,0,0,1,100.00,3,33.33,0.17,3,3,1,1,0,0,12,2,1,0,1,0,0,0,2,3,2,1,0,100.00,8,52,13.33,7,45,13.46,7,27,20.59,1,2,33.33,0.73,5.02,12.77,5,30,14.29,4,19,17.39,1,1,50.00,1,11,8.33,0,0,-,2,27,6.90,0,1,0.00,14.29,92.59,1.069,1,6,11,55,8.33,2,8,17,10.53
Aaron Ekblad,FLA,D,56,136.58333333333,0,2,0,2,2,33.33,6,0.00,0.21,7,6,2,1,1,1,4,2,2,0,0,2,4,4,11,0,7,0,0,-,41,239,14.64,33,183,15.28,26,125,17.22,6,17,26.09,2.73,21.05,11.47,16,136,10.53,4,75,5.06,2,9,18.18,12,61,16.44,3,6,33.33,15,179,7.73,0,2,0.00,23.08,86.40,1.095,1,16,92,60,1.08,5,24,143,3.38
Aatu Raty,VAN,C,33,2.6,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,4,63.64,1,4,20.00,0,2,0.00,0,1,0.00,0,0,-,0,0.14,0.00,0,1,0.00,0,0,-,0,0,-,0,1,0.00,0,0,-,0,8,0.00,0,0,-,-,100.00,1.00,0,0,12,1,0.00,0,0,12,0.00
Adam Boqvist,"FLA, NYI",D,35,1.7666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,2,2,50.00,2,1,66.67,2,1,66.67,0,0,-,0.1,0.06,61.64,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,2,2,50.00,0,0,-,0.00,100.00,1.000,0,0,0,5,-,0,0,0,-
Adam Edstrom,NYR,C,51,0.58333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,-,-,0,0,1,0,0.00,0,0,1,0.00
Adam Fantilli,CBJ,C,82,25.683333333333,1,1,1,0,2,66.67,3,33.33,0.21,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,8,11.11,13,36,26.53,11,26,29.73,10,12,45.45,3,1,75.00,0.72,4.26,14.45,6,20,23.08,3,6,33.33,3,0,100.00,3,14,17.65,0,1,0.00,2,17,10.53,0,0,-,30.00,91.67,1.217,1,4,5,49,16.67,2,6,4,33.33
Adam Fox,NYR,D,74,149.81666666667,1,2,0,2,3,50.00,14,7.14,0.77,16,14,5,1,3,1,6,3,3,0,0,1,3,4,6,1,13,0,0,-,57,240,19.19,53,184,22.36,46,127,26.59,6,23,20.69,4.14,21.44,16.19,25,158,13.66,7,72,8.86,1,11,8.33,18,86,17.31,2,9,18.18,18,133,11.92,2,3,40.00,13.04,81.89,0.949,1,13,73,114,1.35,6,22,111,5.13
Adam Gaudette,OTT,RW,81,5.7833333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-,0,7,0.00,0,6,0.00,0,5,0.00,0,1,0.00,0,0.93,0.00,0,7,0.00,0,2,0.00,0,0,-,0,5,0.00,0,1,0.00,0,0,-,0,0,-,-,80.00,0.80,0,1,1,8,0.00,0,1,2,0.00
Adam Henrique,EDM,C,80,129.46666666667,1,0,0,0,1,33.33,9,11.11,0.52,10,9,2,1,2,0,0,0,0,0,0,0,3,2,1,1,13,102,115,47.00,29,260,10.03,26,175,12.94,25,115,17.86,3,14,17.65,1.36,17.36,7.25,9,145,5.84,3,41,6.82,1,6,14.29,6,104,5.45,1,7,12.50,5,230,2.13,0,1,0.00,12.00,87.83,0.998,1,14,158,41,0.63,2,15,220,0.90
Adam Larsson,SEA,D,82,219.5,0,0,0,0,0,0.00,10,0.00,0.02,11,10,0,0,6,0,2,1,1,0,0,0,6,1,12,1,35,0,0,-,56,466,10.73,53,355,12.99,46,228,16.79,3,32,8.57,2.34,35.11,6.25,18,232,7.20,8,108,6.90,0,12,0.00,10,124,7.46,2,11,15.38,11,363,2.94,1,9,10.00,6.52,85.96,0.925,0,21,120,39,0.00,7,38,252,2.70
Adam Lowry,WPG,C,73,143.86666666667,0,2,2,0,2,66.67,7,0.00,0.65,11,9,4,2,2,0,0,0,0,0,0,0,2,2,2,3,17,85,125,40.48,27,281,8.77,23,200,10.31,16,121,11.68,3,18,14.29,2.71,21.97,10.96,12,142,7.79,4,60,6.25,1,7,12.50,8,82,8.89,0,5,0.00,5,244,2.01,0,6,0.00,18.75,85.12,1.039,0,25,152,46,0.00,0,29,204,0.00
Adam Pelech,NYI,D,60,115.56666666667,0,0,0,0,0,0.00,2,0.00,0.14,2,2,1,0,1,0,0,0,0,0,0,0,2,1,7,2,15,0,0,-,37,228,13.96,34,172,16.50,28,110,20.29,5,19,20.83,2.32,20.41,10.22,21,120,14.89,8,57,12.31,1,5,16.67,13,63,17.11,4,7,36.36,10,173,5.46,0,7,0.00,17.86,82.73,1.006,1,15,94,32,1.05,6,28,131,4.38
Adam Wilsby,NSH,D,23,34.1,0,0,0,0,0,-,1,0.00,0.17,2,2,1,0,1,0,0,0,0,0,0,0,3,1,0,0,1,0,0,-,6,31,16.22,6,21,22.22,4,14,22.22,0,4,0.00,0.56,1.92,22.75,5,16,23.81,2,5,28.57,0,2,0.00,3,11,21.43,0,1,0.00,0,20,0.00,0,1,0.00,0.00,71.43,0.714,0,6,9,38,0.00,0,8,12,0.00
Adrian Kempe,LAK,RW,81,116.7,1,0,0,0,1,100.00,5,20.00,1.73,13,11,5,5,0,0,0,0,0,0,0,4,4,2,3,1,2,1,0,100.00,21,172,10.88,18,136,11.69,12,97,11.01,1,14,6.67,1.89,13.79,12.08,5,101,4.72,5,50,9.09,1,7,12.50,0,51,0.00,0,3,0.00,9,122,6.87,0,4,0.00,8.33,85.57,0.939,2,6,92,102,2.13,5,14,114,4.20
Akil Thomas,LAK,C,25,0.1,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.00,1,0,100.00,1,0,100.00,1,0,100.00,0,0,-,0.03,0,100.00,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,2,0,100.00,0,0,-,0.00,-,0.00,1,0,0,0,100.00,2,0,0,100.00
Albert Johansson,DET,D,61,26.45,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,-,5,44,10.20,4,33,10.81,3,22,12.00,0,4,0.00,0.56,2.97,15.98,2,24,7.69,2,9,18.18,0,2,0.00,0,15,0.00,0,2,0.00,2,29,6.45,0,0,-,0.00,81.82,0.818,0,2,18,31,0.00,0,3,21,0.00
Alec Martinez,CHI,D,44,60.816666666667,0,0,0,0,0,-,0,-,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,7,0,0,-,18,99,15.38,14,76,15.56,13,48,21.31,0,6,0.00,0.79,7.84,9.14,7,64,9.86,3,29,9.38,0,4,0.00,4,35,10.26,0,2,0.00,7,52,11.86,0,0,-,0.00,87.50,0.875,1,0,27,52,3.57,3,4,40,6.98
