Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %
A.J. Greer,FLA,LW,81,6.7833333333333,1,0,0,0,1,50.00,1,100.00,0.02,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,16.67,7,2,77.78,6,1,85.71,6,0,100.00,2,0,100.00,0.68,0.04,94.45,5,0,100.00,3,0,100.00,1,0,100.00,2,0,100.00,0,0,-,5,3,62.50,1,0,100.00,33.33,-,0.33,7,1,0,10,100.00,13,3,1,92.86
Aaron Ekblad,FLA,D,56,150.1,0,11,7,4,11,44.00,26,0.00,2.14,59,35,21,1,0,8,2,1,1,0,0,0,2,0,5,2,2,0,0,-,306,35,89.74,220,31,87.65,155,27,85.16,25,4,86.21,23.3,1.8,92.83,186,12,93.94,84,8,91.30,17,2,89.47,102,4,96.23,5,0,100.00,189,10,94.97,3,1,75.00,16.13,85.19,1.013,68,16,3,27,95.77,150,29,6,96.15
Aatu Raty,VAN,C,33,6.2,0,1,1,0,1,100.00,2,0.00,0.06,3,2,1,0,0,1,2,1,1,0,0,0,0,0,1,0,0,8,3,72.73,13,1,92.86,10,1,90.91,5,1,83.33,1,0,100.00,1.18,0.1,92.19,5,1,83.33,4,1,80.00,0,0,-,1,0,100.00,0,0,-,14,0,100.00,1,0,100.00,20.00,100.00,1.200,7,2,1,5,87.50,8,2,1,88.89
Adam Boqvist,"FLA, NYI",D,35,71.333333333333,1,5,3,2,6,60.00,10,10.00,0.88,20,12,8,1,0,4,2,1,1,0,0,0,0,0,1,0,0,0,0,-,120,16,88.24,90,15,85.71,60,10,85.71,10,2,83.33,9.73,0.69,93.34,66,6,91.67,28,1,96.55,4,0,100.00,38,5,88.37,4,2,66.67,86,4,95.56,2,0,100.00,16.67,80.00,0.967,41,9,0,25,100.00,61,11,1,98.39
Adam Edstrom,NYR,C,51,3.5166666666667,0,0,0,0,0,-,1,0.00,0.14,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,2,3,40.00,2,3,40.00,2,3,40.00,0,0,-,0.19,0.11,63.06,1,1,50.00,1,1,50.00,0,0,-,0,0,-,0,0,-,1,1,50.00,0,0,-,0.00,100.00,1.000,0,1,1,10,0.00,0,1,1,0.00
Adam Fantilli,CBJ,C,82,128.53333333333,2,2,0,2,4,50.00,27,7.41,3.12,54,37,21,8,1,4,2,1,1,0,0,0,8,2,0,5,1,36,32,52.94,199,33,85.78,140,28,83.33,94,25,78.99,8,4,66.67,14.83,3.03,83.04,102,23,81.60,45,8,84.91,4,0,100.00,57,15,79.17,1,3,25.00,143,7,95.33,3,1,75.00,8.51,84.00,0.925,55,8,2,49,96.49,99,13,3,97.06
Adam Fox,NYR,D,74,215.91666666667,1,17,10,7,18,64.29,25,4.00,3.02,61,39,21,2,0,3,2,1,1,0,0,1,6,4,4,2,2,0,0,-,477,52,90.17,363,45,88.97,224,34,86.82,28,6,82.35,38.05,3.61,91.34,261,31,89.38,106,13,89.08,15,2,88.24,155,18,89.60,5,3,62.50,352,11,96.97,8,1,88.89,12.50,82.35,0.949,95,13,0,7,100.00,229,24,2,99.13
Adam Gaudette,OTT,RW,81,113.05,3,0,0,0,3,33.33,15,20.00,3.78,38,27,28,13,1,4,2,1,1,0,0,0,8,0,0,3,1,7,5,58.33,193,18,91.47,135,16,89.40,97,10,90.65,9,0,100.00,13.92,1.12,92.58,104,9,92.04,42,2,95.45,5,0,100.00,62,7,89.86,3,0,100.00,135,10,93.10,1,0,100.00,9.28,100.00,1.093,40,13,5,88,88.89,65,16,7,90.28
Adam Henrique,EDM,C,80,72.75,2,4,0,4,6,85.71,11,18.18,1.85,15,13,11,6,0,3,2,1,1,0,0,0,1,0,1,0,2,36,13,73.47,108,26,80.60,81,24,77.14,62,21,74.70,7,1,87.50,8.08,1.06,88.43,60,10,85.71,26,5,83.87,4,1,80.00,34,5,87.18,2,0,100.00,74,6,92.50,1,0,100.00,11.29,95.24,1.065,28,5,4,70,87.50,42,9,7,85.71
Adam Klapka,CGY,RW,31,8,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-,8,0,100.00,3,0,100.00,2,0,100.00,0,0,-,0.49,0,100.00,2,0,100.00,1,0,100.00,0,0,-,1,0,100.00,0,0,-,9,1,90.00,0,0,-,0.00,-,0.00,3,0,1,12,75.00,3,1,1,75.00
